0.004	0.000	0.006	-0.035	-0.077	0.029
0.003	0.001	0.002	-0.037	-0.059	0.037
0.004	-0.004	0.005	-0.056	-0.069	0.029
0.004	0.000	0.007	-0.028	-0.072	0.002
0.003	-0.004	0.007	-0.047	-0.055	0.033
0.003	-0.002	0.002	-0.052	-0.058	0.028
0.003	-0.002	0.005	-0.045	-0.062	0.029
0.002	-0.001	0.005	-0.042	-0.055	0.010
0.004	-0.001	0.006	-0.049	-0.064	0.011
0.001	0.001	0.005	-0.031	-0.050	0.037
0.003	-0.001	0.006	-0.018	-0.059	0.033
0.003	-0.002	0.006	-0.046	-0.070	0.029
0.005	-0.001	0.009	-0.046	-0.087	0.034
0.004	-0.002	0.007	-0.043	-0.073	0.034
0.002	-0.001	-0.000	-0.034	-0.060	0.023
0.005	0.001	0.009	-0.025	-0.064	0.038
0.004	0.000	0.009	-0.035	-0.069	0.029
0.003	-0.002	0.009	-0.026	-0.073	0.015
0.004	0.000	0.004	-0.041	-0.072	0.015
0.002	-0.001	0.005	-0.035	-0.068	0.037
0.005	0.002	0.007	-0.011	-0.067	0.015
0.004	-0.001	0.009	-0.022	-0.057	0.024
0.002	-0.002	0.005	-0.049	-0.056	0.020
0.003	-0.002	0.006	-0.046	-0.070	0.029
0.001	-0.000	0.007	-0.038	-0.042	0.019
0.003	-0.003	0.007	-0.053	-0.055	0.038
0.003	-0.002	0.005	-0.045	-0.062	0.029
0.001	-0.002	0.007	-0.032	-0.065	0.028
0.003	-0.001	0.010	-0.019	-0.058	0.006
0.003	0.001	0.007	-0.031	-0.054	0.011
0.003	-0.000	0.006	-0.038	-0.070	0.033
0.002	0.000	0.007	-0.021	-0.048	0.015
0.003	-0.002	0.014	-0.040	-0.058	0.029
0.002	0.000	0.007	-0.015	-0.060	0.028
0.001	-0.002	0.001	-0.045	-0.050	0.028
0.001	-0.002	0.010	-0.046	-0.057	0.029
0.001	0.001	0.009	-0.031	-0.050	0.037
0.004	-0.002	0.006	-0.049	-0.077	0.033
0.002	0.001	0.009	-0.021	-0.068	0.019
0.000	-0.001	0.005	-0.035	-0.055	0.037
0.006	-0.001	0.004	-0.021	-0.085	0.024
0.004	-0.001	0.007	-0.042	-0.061	0.024
0.002	0.000	0.009	-0.028	-0.068	0.029
0.004	0.001	0.006	-0.021	-0.065	0.019
0.002	-0.002	0.004	-0.042	-0.060	0.033
0.002	0.001	0.009	-0.041	-0.056	0.033
0.004	0.000	0.007	-0.022	-0.061	0.029
0.003	-0.000	-0.001	-0.023	-0.070	0.019
0.001	-0.003	0.013	-0.041	-0.058	0.038
0.004	0.002	0.012	-0.021	-0.069	0.025
0.002	0.000	0.006	-0.021	-0.063	0.015
0.001	0.002	0.007	-0.017	-0.054	0.041
0.003	-0.000	0.002	-0.038	-0.070	0.019
0.002	-0.004	0.005	-0.050	-0.044	0.015
0.001	-0.001	0.009	-0.019	-0.038	0.033
0.001	-0.003	0.005	-0.039	-0.050	0.037
0.005	-0.001	0.010	-0.026	-0.083	0.047
0.002	0.000	0.007	-0.028	-0.036	0.015
0.005	-0.002	0.007	-0.039	-0.079	0.029
0.005	-0.001	0.006	-0.038	-0.083	0.033
0.002	-0.002	0.005	-0.042	-0.045	0.033
0.003	-0.000	0.007	-0.038	-0.078	0.020
0.001	-0.002	0.007	-0.046	-0.042	0.028
0.002	0.000	0.006	-0.021	-0.063	0.015
0.001	-0.002	0.007	-0.052	-0.054	0.029
0.002	-0.001	0.007	-0.022	-0.060	0.024
0.004	-0.001	0.007	-0.022	-0.072	0.024
0.002	-0.002	0.011	-0.043	-0.060	0.034
0.001	-0.003	0.007	-0.033	-0.053	0.024
0.003	-0.002	0.011	-0.060	-0.055	0.029
0.004	0.000	0.007	-0.035	-0.084	0.015
0.003	-0.000	0.009	-0.032	-0.074	0.020
0.003	-0.002	0.002	-0.045	-0.070	0.028
0.002	-0.001	0.009	-0.042	-0.056	0.038
0.003	-0.001	0.010	-0.025	-0.070	0.020
0.003	0.001	0.007	-0.025	-0.043	0.024
0.003	-0.001	0.007	-0.039	-0.055	0.047
0.003	0.001	0.007	-0.031	-0.055	0.037
0.004	0.000	0.011	-0.035	-0.084	0.016
0.004	0.000	0.004	-0.041	-0.073	0.028
0.006	-0.001	0.005	-0.045	-0.064	0.033
0.002	-0.001	0.011	-0.023	-0.060	0.038
0.002	0.000	0.011	-0.036	-0.048	0.015
0.004	-0.002	0.007	-0.036	-0.061	0.033
0.003	-0.002	0.005	-0.045	-0.062	0.029
0.002	-0.002	0.007	-0.056	-0.060	0.020
0.003	-0.002	0.006	-0.052	-0.058	0.015
0.004	-0.002	0.006	-0.043	-0.065	0.033
0.004	0.000	0.007	-0.028	-0.073	0.029
0.002	-0.001	0.004	-0.048	-0.059	0.010
0.004	-0.004	0.009	-0.044	-0.069	0.029
0.002	-0.001	0.007	-0.056	-0.048	0.011
0.001	-0.002	0.009	-0.046	-0.073	0.029
0.005	-0.003	0.007	-0.040	-0.067	0.038
0.003	-0.002	0.011	-0.033	-0.055	0.042
0.003	0.001	0.007	-0.031	-0.055	0.024
0.002	-0.001	0.009	-0.029	-0.056	0.038
0.002	-0.002	0.007	-0.049	-0.072	0.033
0.002	-0.001	0.009	-0.056	-0.056	0.024
0.003	-0.002	0.006	-0.052	-0.058	0.015
0.003	0.001	0.005	-0.024	-0.074	0.024
0.001	-0.002	0.009	-0.032	-0.050	0.028
0.005	-0.001	0.009	-0.025	-0.075	0.033
0.002	0.000	0.005	-0.014	-0.045	0.028
0.003	-0.004	0.005	-0.053	-0.074	0.020
0.002	-0.001	0.005	-0.042	-0.056	0.037
0.004	0.000	0.009	-0.028	-0.081	0.042
0.002	-0.001	0.006	-0.035	-0.052	0.010
0.003	-0.001	0.005	-0.025	-0.062	0.019
0.003	-0.002	0.007	-0.032	-0.055	0.029
0.005	-0.002	0.004	-0.038	-0.078	0.015
0.004	-0.002	0.005	-0.042	-0.057	0.033
0.003	-0.000	0.006	-0.038	-0.070	0.033
0.004	0.000	0.007	-0.028	-0.072	0.015
0.000	-0.001	0.006	-0.042	-0.028	0.037
0.002	0.001	0.010	-0.021	-0.052	0.020
0.002	-0.001	0.007	-0.029	-0.048	0.011
0.003	-0.003	0.009	-0.053	-0.062	0.025
0.001	-0.000	0.004	-0.038	-0.065	0.019
0.005	-0.001	0.006	-0.038	-0.083	0.033
0.002	-0.002	0.009	-0.030	-0.044	0.033
0.002	0.001	0.010	-0.021	-0.052	0.033
