,filename,code,videoFrameCount,family,footfall_begin,footfall_end,foot,notes
83,ofil1_down_04.avi,ofil1,411,Gecko,nan,nan,nan,
84,ofil1_up_01.avi,ofil1,658,Gecko,151,381,FL,very unsecure
85,ofil1_up_02.avi,ofil1,1147,Gecko,149,458,FL,
86,ofil1_up_02.avi,ofil1,1147,Gecko,711,871,HL,
87,omon10_down_03.avi,omon10,827,Gecko,nan,nan,nan,
88,omon10_up_01.avi,omon10,311,Gecko,96,139,FL,
89,omon10_up_01.avi,omon10,311,Gecko,130,220,HL,
90,omon10_up_02.avi,omon10,458,Gecko,187,256,FL,
91,omon10_up_04.avi,omon10,425,Gecko,42,170,FR,
92,omon10_up_04.avi,omon10,425,Gecko,161,250,HR,
93,omon11_down_02.avi,omon11,153,Gecko,74,91,HL,
94,omon11_down_03.avi,omon11,145,Gecko,50,71,HL,
95,omon11_down_05.avi,omon11,705,Gecko,nan,nan,nan,paused on forceplate for long
96,omon11_down_07.avi,omon11,311,Gecko,115,149,HR,
97,omon11_down_08.avi,omon11,311,Gecko,124,1152,HR,
98,omon11_down_09.avi,omon11,181,Gecko,54,81,FR,
99,omon11_up_01.avi,omon11,113,Gecko,40,55,FR,
100,omon11_up_04.avi,omon11,178,Gecko,64,85,FL,
101,omon11_up_05.avi,omon11,493,Gecko,281,335,FL,
102,omon11_up_06.avi,omon11,316,Gecko,139,176,HR,
103,omon1_down_05.avi,omon1,414,Gecko,149,244,FL,
104,omon1_down_07.avi,omon1,558,Gecko,50,351,FL,
105,omon1_down_07.avi,omon1,558,Gecko,390,491,HL,
106,omon1_down_09.avi,omon1,378,Gecko,30,73,HL,
107,omon1_up_04.avi,omon1,331,Gecko,158,225,HL,on edge
108,omon1_up_06.avi,omon1,643,Gecko,109,482,HL,
109,omon1_up_08.avi,omon1,829,Gecko,248,588,FR,
110,omon1_up_10.avi,omon1,342,Gecko,134,194,HR,
111,omon2_down_03.avi,omon2,234,Gecko,53,79,FL,
112,omon2_down_04.avi,omon2,131,Gecko,43,53,FR,
113,omon2_up_01.avi,omon2,342,Gecko,64,167,FL,
114,omon2_up_02.avi,omon2,444,Gecko,97,182,FR,
115,omon3_down_12.avi,omon3,370,Gecko,144,244,HR,
116,omon3_down_14.avi,omon3,607,Gecko,248,479,HR,
117,omon3_down_15.avi,omon3,720,Gecko,64,158,FL,not all toes on forceplate
118,omon3_up_11.avi,omon3,391,Gecko,160,215,FL,
119,omon3_up_13.avi,omon3,607,Gecko,182,321,HL,not all toes on forceplate
120,omon4_down_01.avi,omon4,97,Gecko,29,43,HL,not all toes on forceplate
121,omon4_down_03.avi,omon4,617,Gecko,nan,nan,nan,
122,omon4_up_02.avi,omon4,724,Gecko,nan,nan,nan,
123,omon5_down_09.avi,omon5,275,Gecko,140,145,HR,"dragging foot, not really placing it"
124,omon5_down_12.avi,omon5,537,Gecko,nan,nan,nan,
125,omon5_down_13.avi,omon5,475,Gecko,66,133,FL,
126,omon5_up_08.avi,omon5,457,Gecko,nan,nan,nan,
127,omon5_up_10.avi,omon5,425,Gecko,nan,nan,nan,
128,omon5_up_11.avi,omon5,414,Gecko,nan,nan,nan,
129,omon6_down_13.avi,omon6,457,Gecko,287,351,HR,
130,omon6_down_14.avi,omon6,319,Gecko,159,226,HR,
131,omon6_down_15.avi,omon6,371,Gecko,152,226,FL,
132,omon6_up_12.avi,omon6,885,Gecko,nan,nan,nan,
133,omon7_down_07.avi,omon7,125,Gecko,11,38,FR,not all toes on forceplate
134,omon7_down_08.avi,omon7,288,Gecko,23,115,HR,paused on forceplate
135,omon7_up_06.avi,omon7,221,Gecko,8,75,FL,
136,omon7_up_09.avi,omon7,564,Gecko,298,479,HL,
137,omon8_down_02.avi,omon8,244,Gecko,nan,nan,nan,
138,omon8_down_03.avi,omon8,689,Gecko,344,544,HR,
139,omon8_down_04.avi,omon8,337,Gecko,97,235,HR,
140,omon8_up_01.avi,omon8,486,Gecko,116,277,FR,
141,omon9_down_02.avi,omon9,226,Gecko,115,140,HR,
142,omon9_down_04.avi,omon9,148,Gecko,87,99,HR,
143,omon9_down_06.avi,omon9,182,Gecko,116,125,HR,
144,omon9_down_08.avi,omon9,172,Gecko,89,103,HR,
145,omon9_down_09.avi,omon9,129,Gecko,49,58,FR,
146,omon9_down_09.avi,omon9,129,Gecko,60,70,HR,
147,omon9_up_01.avi,omon9,199,Gecko,53,85,FR,
148,omon9_up_01.avi,omon9,199,Gecko,83,121,HR,not all toes on forceplate
149,omon9_up_03.avi,omon9,255,Gecko,43,89,FL,
150,omon9_up_05.avi,omon9,262,Gecko,nan,nan,nan,
151,omon9_up_07.avi,omon9,405,Gecko,162,214,FR,has HR on forceplate when lifting FR
