,file,family,code,video_frame_count,framerate,foot,footfall_begin,footfall_end,open_frame,CoP,footfall_point,conversion_factor,x_calib_mm,y_calib_mm,notes
0,ocas10a_down_11.avi,Gecko,ocas10,456,100,FL,82,159,120,"(526, 206)","(513, 206)",1.46,8.904,0,
1,ocas10a_down_12.avi,Gecko,ocas10,1473,100,,,,,"(nan, nan)","(nan, nan)",,,,
2,ocas10a_down_15.avi,Gecko,ocas10,307,100,,,,,"(nan, nan)","(nan, nan)",,,,
3,ocas10a_up_10.avi,Gecko,ocas10,757,100,FL,119,408,264,"(528, 206)","(511, 193)",1.44,11.806,9.028,
4,ocas10a_up_13.avi,Gecko,ocas10,1136,100,FL,204,783,494,"(526, 204)","(529, 215)",1.38,-2.174,-7.971,
5,ocas10a_up_14.avi,Gecko,ocas10,521,100,HR,62,453,258,"(528, 206)","(524, 194)",1.44,2.778,8.333,
6,ocas10a_up_9.avi,Gecko,ocas10,594,100,FL,190,493,342,"(527, 208)","(535, 188)",1.47,-5.442,13.605,
7,ocas11_down_13.avi,Gecko,ocas11,489,100,FL,53,317,185,"(526, 206)","(504, 189)",1.42,15.493,11.972,
8,ocas11_down_15.avi,Gecko,ocas11,490,100,FL,98,249,174,"(526, 204)","(522, 211)",1.48,2.703,-4.73,
9,ocas11_down_16.avi,Gecko,ocas11,291,100,HL,104,200,152,"(527, 204)","(503, 209)",1.52,15.789,-3.289,
10,ocas11_down_19.avi,Gecko,ocas11,384,100,HL,161,234,198,"(527, 206)","(528, 213)",1.48,-0.676,-4.73,
11,ocas11_up_12.avi,Gecko,ocas11,545,100,HR,212,479,346,"(528, 206)","(523, 217)",1.46,3.425,-7.534,
12,ocas11_up_14.avi,Gecko,ocas11,652,100,FR,169,332,250,"(528, 204)","(539, 187)",1.4,-7.857,12.143,
13,ocas11_up_14.avi,Gecko,ocas11,652,100,HR,306,573,440,"(528, 206)","(511, 193)",1.47,11.565,8.844,
14,ocas11_up_17.avi,Gecko,ocas11,454,100,HR,195,390,292,"(528, 206)","(522, 186)",1.46,4.11,13.699,
15,ocas11_up_18.avi,Gecko,ocas11,454,100,FR,59,227,143,"(527, 204)","(521, 220)",1.41,4.255,-11.348,
16,ocas2_down_03.avi,Gecko,ocas2,535,100,FR,192,294,243,"(530, 202)","(552, 194)",1.41,-15.603,5.674,
17,ocas2_down_03.avi,Gecko,ocas2,535,100,HR,379,454,416,"(527, 202)","(531, 225)",1.42,-2.817,-16.197,
18,ocas2_down_05.avi,Gecko,ocas2,391,100,FR,39,195,117,"(530, 204)","(526, 217)",1.43,2.797,-9.091,
19,ocas2_down_06.avi,Gecko,ocas2,268,100,FR,26,128,77,"(528, 202)","(539, 197)",1.44,-7.639,3.472,
20,ocas2_down_07.avi,Gecko,ocas2,233,100,HR,67,132,100,"(528, 202)","(509, 221)",1.43,13.287,-13.287,
21,ocas2_up_01.avi,Gecko,ocas2,504,100,HR,322,443,382,"(528, 203)","(527, 179)",1.43,0.699,16.783,not all toes on forceplate
22,ocas2_up_02.avi,Gecko,ocas2,601,100,FR,198,330,264,"(530, 202)","(503, 210)",1.45,18.621,-5.517,
