,file,force_file,family,code,video_frame_count,framerate,foot,footfall_begin,footfall_end,open_frame,CoP,footfall_point,conversion_factor,x_calib_mm,y_calib_mm,notes,mean_body_deflection
18,gdub5_down_16.avi,gdub5_down_16.txt,Gecko,gdub5,251,250,HR,68,81,74,"(533, 211)","(505, 222)",1.34,20.896,-8.209,,8.44
19,gdub5_down_18.avi,gdub5_down_18.txt,Gecko,gdub5,1102,250,,,,,"(nan, nan)","(nan, nan)",,,,paused step on forceplate for almost whole video,
20,gdub5_down_20.avi,gdub5_down_20.txt,Gecko,gdub5,466,250,HL,302,312,307,"(534, 211)","(531, 224)",1.37,2.19,-9.489,,1.46
21,gdub5_down_22.avi,gdub5_down_22.txt,Gecko,gdub5,211,250,,,,,"(nan, nan)","(nan, nan)",,,,no foot fully on forceplate,
22,gdub5_down_24.avi,gdub5_down_24.txt,Gecko,gdub5,374,250,HR,123,228,176,"(534, 212)","(529, 217)",1.32,3.788,-3.788,paused step on forceplate,7.48
23,gdub5_down_25.avi,gdub5_down_25.txt,Gecko,gdub5,250,250,FL,92,103,98,"(534, 210)","(535, 208)",1.4,-0.714,1.429,,4.81
24,gdub5_up_15.avi,gdub5_up_15.txt,Gecko,gdub5,372,250,HR,104,126,115,"(533, 210)","(549, 220)",1.35,-11.852,-7.407,,6.07
25,gdub5_up_17.avi,gdub5_up_17.txt,Gecko,gdub5,278,250,FR,92,103,98,"(535, 210)","(521, 236)",1.33,10.526,-19.549,HR on forceplate when lifting FR,7.86
26,gdub5_up_19.avi,gdub5_up_19.txt,Gecko,gdub5,278,250,FL,93,104,98,"(534, 210)","(526, 224)",1.3,6.154,-10.769,also has HL footfall on forceplate after,7.06
27,gdub5_up_21.avi,gdub5_up_21.txt,Gecko,gdub5,310,250,HL,71,137,104,"(532, 212)","(521, 200)",1.27,8.661,9.449,paused step on forceplate,5.97
28,gdub5_up_23.avi,gdub5_up_23.txt,Gecko,gdub5,248,250,FL,47,62,54,"(534, 212)","(514, 210)",1.3,15.385,1.538,HL on forceplate when lifting FL,7.93
29,skrys11_down_02.avi,skrys11_down_02.txt,Gecko,skrys11,291,100,HL,52,203,128,"(530, 200)","(515, 221)",1.3,11.538,-16.154,"very sticky gecko, paused step on forceplate",22.06
