,file,force_file,family,code,video_frame_count,framerate,foot,footfall_begin,footfall_end,open_frame,CoP,footfall_point,conversion_factor,x_calib_mm,y_calib_mm,notes
20,limac3_up_01.avi,limac3_up_01.txt,Gecko,limac3,272,100,FR,43,65,54,"(532, 204)","(502, 214)",1.39,21.583,-7.194,has more feet on forceplate after
21,limac3_up_02.avi,limac3_up_02.txt,Gecko,limac3,226,100,HL,88,124,106,"(531, 204)","(547, 214)",1.38,-11.594,-7.246,also has FL just on forceplate before
22,limac3_up_03.avi,limac3_up_03.txt,Gecko,limac3,536,100,,,,,"(nan, nan)","(nan, nan)",,,,always pausing
23,limac3_up_04.avi,limac3_up_04.txt,Gecko,limac3,461,100,HR,276,322,299,"(534, 203)","(504, 218)",1.39,21.583,-10.791,"slow, has HL on forceplate when lifting HR"
24,limac3_up_05.avi,limac3_up_05.txt,Gecko,limac3,395,100,,,,,"(nan, nan)","(nan, nan)",,,,always pausing
25,limac6_up_01.avi,limac6_up_01.txt,Gecko,limac6,336,100,HR,225,265,245,"(530, 197)","(511, 172)",1.43,13.287,17.483,"paused on forceplate, foot on edge"
26,limac6_up_02.avi,limac6_up_02.txt,Gecko,limac6,312,100,FL,99,116,108,"(532, 196)","(523, 174)",1.4,6.429,15.714,also has HL footfall on firceplate after
27,limac6_up_03.avi,limac6_up_03.txt,Gecko,limac6,250,100,HL,151,157,154,"(532, 196)","(529, 179)",1.38,2.174,12.319,super fast after pausing FL on forceplate
28,limac6_up_04.avi,limac6_up_04.txt,Gecko,limac6,241,100,FR,69,77,73,"(532, 197)","(560, 211)",1.33,-21.053,-10.526,
29,limac6_up_05.avi,limac6_up_05.txt,Gecko,limac6,143,100,FL,25,45,35,"(534, 196)","(505, 186)",1.39,20.863,7.194,
30,limac6_up_06.avi,limac6_up_06.txt,Gecko,limac6,605,250,HR,333,387,360,"(533, 196)","(558, 191)",1.43,-17.483,3.497,slow 
31,limac6_up_07.avi,limac6_up_07.txt,Gecko,limac6,581,250,FR,168,197,182,"(533, 196)","(525, 202)",1.36,5.882,-4.412,also has HR footfall on forceplate after
32,limac6_up_08.avi,limac6_up_08.txt,Gecko,limac6,651,250,FL,260,299,280,"(534, 194)","(549, 203)",1.35,-11.111,-6.667,also has HL footfall on forceplate after 
33,limac7_up_01.avi,limac7_up_01.txt,Gecko,limac7,491,100,,,,,"(nan, nan)","(nan, nan)",,,,paused on forceplate
34,limac7_up_02.avi,limac7_up_02.txt,Gecko,limac7,478,100,FL,234,291,262,"(533, 196)","(540, 208)",1.41,-4.965,-8.511,slow
35,limac7_up_03.avi,limac7_up_03.txt,Gecko,limac7,245,100,FL,14,58,36,"(534, 198)","(504, 217)",1.42,21.127,-13.38,slow
36,limac7_up_04.avi,limac7_up_04.txt,Gecko,limac7,547,100,FL,21,54,38,"(533, 196)","(507, 223)",1.43,18.182,-18.881,
37,limac7_up_05.avi,limac7_up_05.txt,Gecko,limac7,479,100,HL,244,287,266,"(532, 195)","(510, 207)",1.39,15.827,-8.633,
38,limac7_up_06.avi,limac7_up_06.txt,Gecko,limac7,582,100,HL,413,442,428,"(532, 196)","(536, 188)",1.39,-2.878,5.755,
39,limac7_up_07.avi,limac7_up_07.txt,Gecko,limac7,288,100,FL,48,103,76,"(534, 196)","(541, 182)",1.36,-5.147,10.294,also has HL footfall on forceplate after 
40,limac8_up_01.avi,limac8_up_01.txt,Gecko,limac8,694,100,HR,332,395,364,"(534, 196)","(530, 169)",1.41,2.837,19.149,slow
41,limac8_up_02.avi,limac8_up_02.txt,Gecko,limac8,152,100,FL,60,79,70,"(533, 196)","(543, 173)",1.43,-6.993,16.084,all feet on forceplate
42,limac8_up_03.avi,limac8_up_03.txt,Gecko,limac8,161,100,HL,38,56,47,"(528, 204)","(510, 225)",1.39,12.95,-15.108,also has FL footfall on forceplate before
43,limac8_up_04.avi,limac8_up_04.txt,Gecko,limac8,227,100,FL,104,124,114,"(527, 203)","(500, 213)",1.38,19.565,-7.246,
