filename, foot,foot2, direction, MeanX, MeanY, MeanZ, IntergralX, IntergralY, IntergralZ, MinX, MinY, MinZ, MaxX, MaxY, MaxZ,bodymass,SVL,TL
Gecko_17_run_12.avi, fore,FL, up,-0.010522,0.006488,0.00482,-0.000354,0.000218,0.000162,-0.023005,-0.002604,-0.008041,0.00242,0.015616,0.010761,2.3,364,382.37
Gecko_17_run_13.avi, fore,FR, up,0.010708,0.01495,0.004013,0.000387,0.00054,0.000145,-0.002242,-0.001738,-0.002228,0.02094,0.028871,0.007739,2.3,364,382.37
Gecko_17_run_13.avi, hind,HL, up,0.01646,0.02052,-0.002586,0.000644,0.000803,-0.000101,-0.005881,-0.008178,-0.005765,0.032048,0.037968,-0.000188,2.3,364,382.37
Gecko_17_run_15.avi, hind,HL, down,0.021049,0.021871,0.003088,0.000665,0.000691,0.000098,-0.000614,-0.001166,-0.001678,0.036511,0.038322,0.007068,2.3,364,382.37
Gecko_17_run_16.avi, fore,FL, down,0.004911,0.008916,-0.001417,0.000098,0.000178,-0.000028,-0.010872,-0.001264,-0.012605,0.01991,0.02175,0.003458,2.3,364,382.37
Gecko_17_run_17.avi, hind,HR, up,-0.008408,0.011114,-0.003798,-0.000353,0.000467,-0.000159,-0.015724,-0.002175,-0.00702,-0.000241,0.020871,0.000082,2.3,364,382.37
Gecko_17_run_18.avi, fore,FL, up,-0.008802,0.008461,0.003752,-0.000269,0.000259,0.000115,-0.017585,0.00051,-0.004826,0.001992,0.016998,0.008638,2.3,364,382.37
Gecko_17_run_18.avi, hind,HL, up,0.013595,0.01305,-0.003751,0.000455,0.000437,-0.000126,0.000213,-0.000447,-0.007788,0.026716,0.022242,0.000588,2.3,364,382.37
Gecko_17_run_19.avi, fore,FL, up,-0.006898,0.006412,0.003711,-0.000296,0.000275,0.000159,-0.010446,-0.002222,-0.006222,-0.000489,0.01186,0.008375,2.3,364,382.37
Gecko_17_run_20.avi, fore,FL, up,-0.003827,0.010347,0.003029,-0.000199,0.000538,0.000157,-0.013214,-0.000923,-0.001901,0.006072,0.016331,0.006293,2.3,364,382.37
Gecko_17_run_20.avi, hind,HL, up,0.012942,0.016753,-0.003508,0.000612,0.000792,-0.000166,0.001252,0.000659,-0.005756,0.020345,0.030655,0.001084,2.3,364,382.37
Gecko_18_run_01.avi, fore,FL, down,-0.009747,0.009081,-0.01068,-0.000176,0.000164,-0.000193,-0.022531,-0.000287,-0.0381,0.002811,0.043029,-0.001975,3.53,424,437.12
Gecko_18_run_01.avi, hind,HL, down,0.025433,0.05252,0.008528,0.000595,0.001228,0.0002,-0.000771,0.000789,-0.001444,0.036917,0.076642,0.018601,3.53,424,437.12
