filename	 foot	 direction	 MeanX	 MeanY	 MeanZ	 IntergralX	 IntergralY	 IntergralZ	 MinX	 MinY	 MinZ	 MaxX	 MaxY	 MaxZ
Gecko 14 run 9 2018-09-12_000000.avi	 fore	 down	 0.001467	 0.013328	 -0.005994	 0.000042	 0.000385	 -0.000173	 -0.021901	 -0.003427	 -0.036164	 0.019691	 0.042047	 0.003927
Gecko 14 run 10 2018-09-12_000000.avi	 hind	 up	 0.017630	 0.025998	 -0.007003	 0.000779	 0.001149	 -0.000310	 -0.009588	 -0.013752	 -0.010221	 0.042722	 0.053859	 0.000073
Gecko 14 run 11 2018-09-12_000000.avi	 fore	 down	 0.004327	 0.012115	 -0.008200	 0.000100	 0.000280	 -0.000189	 -0.004982	 0.002845	 -0.032446	 0.021780	 0.041204	 0.000226
Gecko 14 run 11 2018-09-12_000000.avi	 hind	 down	 -0.003016	 0.035844	 0.001144	 -0.000087	 0.001046	 0.000034	 -0.015865	 -0.001962	 -0.009311	 0.007717	 0.065892	 0.009454
Gecko 14 run 12 2018-09-12_000000.avi	 fore	 up	 0.024785	 0.023517	 0.006115	 0.001343	 0.001275	 0.000331	 -0.001185	 -0.007110	 -0.013060	 0.044822	 0.051277	 0.010798
Gecko 14 run 13 2018-09-12_000000.avi	 fore	 down	 -0.000093	 0.011059	 -0.009782	 -0.000002	 0.000291	 -0.000257	 -0.028223	 -0.008661	 -0.030770	 0.033964	 0.038052	 0.003396
Gecko 14 run 14 2018-09-12_000000.avi	 fore	 up	 0.031617	 0.031256	 0.009458	 0.001429	 0.001412	 0.000427	 -0.007025	 -0.007611	 -0.010165	 0.058576	 0.061435	 0.015226
Gecko 14 run 15 2018-09-12_000000.avi	 fore	 down	 -0.000513	 0.008413	 -0.004009	 -0.000017	 0.000284	 -0.000135	 -0.024903	 -0.000271	 -0.019142	 0.017139	 0.019875	 0.002723
Gecko 14 run 16 2018-09-12_000000.avi	 fore	 down	 0.003127	 0.011250	 -0.007017	 0.000087	 0.000312	 -0.000195	 -0.004177	 0.000934	 -0.022983	 0.016060	 0.024809	 0.000806
Gecko 14 run 17 2018-09-12_000000.avi	 hind	 up	 0.015693	 0.026810	 -0.007491	 0.000833	 0.001424	 -0.000398	 -0.009299	 -0.010291	 -0.010988	 0.039301	 0.065421	 -0.000235
Gecko 14 run 18 2018-09-12_000000.avi	 hind	 up	 0.012964	 0.019953	 -0.004071	 0.000780	 0.001200	 -0.000245	 -0.014496	 -0.006810	 -0.007509	 0.029783	 0.043491	 0.000178
Gecko 14 run 19 2018-09-12_000000.avi	 fore	 up	 -0.015562	 0.020015	 0.009574	 -0.000604	 0.000776	 0.000371	 -0.026981	 -0.002200	 -0.012406	 0.001771	 0.043436	 0.017160
Gecko 14 run 20 2018-09-12_000000.avi	 fore	 down	 0.000024	 0.012948	 -0.005507	 0.000001	 0.000378	 -0.000161	 -0.015101	 0.001265	 -0.019356	 0.021905	 0.026248	 0.005331
Gecko 14 run 20 2018-09-12_000000.avi	 hind	 down	 0.032206	 0.040260	 0.004748	 0.001172	 0.001465	 0.000173	 0.001821	 -0.000597	 -0.001124	 0.065110	 0.076302	 0.013985
Gecko 14 run 21 2018-09-12_000000.avi	 fore	 down	 -0.000937	 0.010089	 -0.004227	 -0.000025	 0.000267	 -0.000112	 -0.009289	 0.000020	 -0.022723	 0.014164	 0.021975	 0.004123
Gecko 14 run 21 2018-09-12_000000.avi	 hind	 down	 -0.006431	 0.040190	 0.005113	 -0.000190	 0.001190	 0.000151	 -0.018049	 -0.002334	 -0.002894	 0.001174	 0.080924	 0.014455
