,filename,MeanX,MeanY,MeanZ,IntergralX,IntergralY,IntergralZ,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,foot,foot2,direction,footfall_begin,footfall_end,individual,bodymass,SVL,TL,MeanX_rel,MeanY_rel,MeanZ_rel,MeanXY,MeanXY_rel,dirMeanXY_rel
15,hfren11_run_12.avi,0.002262,0.010888,-0.001538,0.000179,0.00086,-0.000122,-0.010424,-0.001652,-0.006355,0.014939,0.025645,0.003001, HL,hind,up,68,87,hfren11,2.75,426,447.1,0.000822545,0.003959273,-0.000559273,0.01315,0.004781818,11.73634376
25,hfren11_run_20.avi,0.013797,0.016682,-0.002009,0.000977,0.001181,-0.000142,-0.001015,-0.001061,-0.004346,0.030165,0.037513,0.001247, HL,hind,up,65,83,hfren11,2.75,426,447.1,0.005017091,0.006066182,-0.000730545,0.030479,0.011083273,39.59275927
29,hfren13_run_03.avi,0.021816,0.034792,0.002069,0.000929,0.001482,8.80E-05,-0.007697,-0.00189,-0.004164,0.064826,0.077187,0.012014, HL,hind,down,34,45,hfren13,3.25,419,316.05,0.006712615,0.010705231,0.000636615,0.056608,0.017417846,32.08938588
32,hfren13_run_05.avi,0.029243,0.034463,0.001843,0.001149,0.001355,7.20E-05,-0.002148,-0.003448,-0.007232,0.074732,0.092358,0.009748, HL,hind,down,49,59,hfren13,3.25,419,316.05,0.008997846,0.010604,0.000567077,0.063706,0.019601846,40.31571117
36,hfren13_run_07.avi,-0.011877,-0.00477,-7.00E-06,-0.000444,-0.000178,0,-0.033199,-0.010775,-0.009103,0.00206,-0.00042,0.002452, HL,hind,up,50,59,hfren13,3.25,419,316.05,-0.003654462,-0.001467692,-2.15E-06,-0.016647,-0.005122154,68.11878796
38,hfren13_run_08.avi,0.001451,0.00482,-0.000369,5.50E-05,0.000184,-1.40E-05,-0.001806,-0.002833,-0.004594,0.003082,0.016491,0.002883, HL,hind,up,41,51,hfren13,3.25,419,316.05,0.000446462,0.001483077,-0.000113538,0.006271,0.001929538,16.7537566
44,hfren13_run_11.avi,5.20E-05,0.003786,-0.002495,2.00E-06,0.000122,-8.00E-05,-0.001379,-0.002906,-0.007806,0.001499,0.00829,-0.000563, HL,hind,up,37,45,hfren13,3.25,419,316.05,1.60E-05,0.001164923,-0.000767692,0.003838,0.001180923,0.786897308
46,hfren13_run_12.avi,0.027947,0.031791,0.003374,0.000944,0.001075,0.000114,0.000468,-0.003281,-0.004829,0.060477,0.072173,0.011813, HL,hind,down,35,43,hfren13,3.25,419,316.05,0.008599077,0.009781846,0.001038154,0.059738,0.018380923,41.31822716
50,hfren13_run_14.avi,0.000796,0.004444,-0.000207,2.80E-05,0.000157,-7.00E-06,-0.002683,-0.001984,-0.005215,0.006712,0.012944,0.002642, HL,hind,up,45,54,hfren13,3.25,419,316.05,0.000244923,0.001367385,-6.37E-05,0.00524,0.001612308,10.15501238
52,hfren13_run_15.avi,0.01727,0.021273,0.001014,0.000807,0.000994,4.70E-05,-0.00153,-0.001579,-0.003223,0.044383,0.051452,0.005726, HL,hind,down,43,54,hfren13,3.25,419,316.05,0.005313846,0.006545538,0.000312,0.038543,0.011859385,39.07063133
54,hfren13_run_18.avi,0.001522,0.009031,-0.001046,8.70E-05,0.000514,-5.90E-05,-0.012316,-0.004692,-0.005121,0.010258,0.023101,0.002736, HL,hind,up,38,52,hfren13,3.25,419,316.05,0.000468308,0.002778769,-0.000321846,0.010553,0.003247077,9.566200778
55,hfren13_run_19.avi,0.008704,0.013241,-0.003171,0.00056,0.000851,-0.000204,-0.002248,-0.005325,-0.00629,0.020569,0.030047,-0.000247, HL,hind,up,47,63,hfren13,3.25,419,316.05,0.002678154,0.004074154,-0.000975692,0.021945,0.006752308,33.31900554
57,hfren13_run_20.avi,0.01415,0.014641,0.000604,0.000729,0.000754,3.10E-05,-0.001068,-0.002995,-0.001487,0.044268,0.045284,0.004084, HL,hind,down,44,57,hfren13,3.25,419,316.05,0.004353846,0.004504923,0.000185846,0.028791,0.008858769,44.0229759
59,hfren13_run_22.avi,0.014669,0.019188,-0.004208,0.000838,0.001097,-0.00024,-0.007408,-0.026859,-0.014282,0.033306,0.048297,-0.001383, HL,hind,up,86,100,hfren13,3.25,419,316.05,0.004513538,0.005904,-0.001294769,0.033857,0.010417538,37.39748653
61,hfren14_run_01.avi,0.035815,0.029873,0.003435,0.001063,0.000887,0.000102,-0.001487,0.000759,-0.007536,0.071049,0.061074,0.010758, HL,hind,down,34,41,hfren14,3.87,463,319.5,0.009254522,0.007719121,0.000887597,0.065688,0.016973643,50.16878969
73,hfren14_run_08.avi,0.022128,0.026575,0.004755,0.000843,0.001013,0.000181,-0.002485,-0.002116,-0.002643,0.041245,0.053507,0.011468, HL,hind,down,47,57,hfren14,3.87,463,319.5,0.005717829,0.006866925,0.001228682,0.048703,0.012584755,39.78287255
75,hfren14_run_10.avi,0.014755,0.021666,-0.006202,0.000728,0.001069,-0.000306,-0.005622,-0.007394,-0.010093,0.040884,0.051827,0.000867, HL,hind,up,58,70,hfren14,3.87,463,319.5,0.003812661,0.00559845,-0.001602584,0.036421,0.009411111,34.25568341
80,hfren14_run_13.avi,0.01834,0.017359,0.003349,0.000649,0.000615,0.000119,-0.003623,-0.002709,-0.008123,0.042826,0.039791,0.011711, HL,hind,down,41,50,hfren14,3.87,463,319.5,0.004739018,0.00448553,0.000865375,0.035699,0.009224548,46.57407821
82,hfren14_run_15.avi,0.018708,0.026532,0.002311,0.000707,0.001003,8.70E-05,-0.001324,-0.000754,-0.001485,0.042536,0.05285,0.007523, HL,hind,down,53,63,hfren14,3.87,463,319.5,0.004834109,0.006855814,0.000597158,0.04524,0.011689922,35.18807743
85,hfren14_run_17.avi,0.014322,0.024169,-0.00679,0.000846,0.001429,-0.000401,-0.006871,-0.009106,-0.010683,0.039319,0.065642,0.00033, HL,hind,up,80,94,hfren14,3.87,463,319.5,0.003700775,0.00624522,-0.001754522,0.038491,0.009945995,30.65001814
87,hfren14_run_18.avi,0.012743,0.019474,-0.003949,0.000793,0.001211,-0.000245,-0.012562,-0.002154,-0.007506,0.029937,0.043466,0.000182, HL,hind,up,72,88,hfren14,3.87,463,319.5,0.003292765,0.005032041,-0.001020413,0.032217,0.008324806,33.19911723
89,hfren14_run_19.avi,0.013341,0.022214,0.002385,0.00074,0.001233,0.000132,-0.001207,-0.001706,-0.003308,0.025806,0.049443,0.008445, HL,hind,up,52,66,hfren14,3.87,463,319.5,0.003447287,0.005740052,0.000616279,0.035555,0.009187339,30.98764668
91,hfren14_run_20.avi,0.031196,0.039102,0.004594,0.00117,0.001466,0.000172,0.000598,-0.000588,-0.001004,0.06553,0.076309,0.0139, HL,hind,down,48,57,hfren14,3.87,463,319.5,0.008060982,0.010103876,0.00118708,0.070298,0.018164858,38.58324554
99,hfren16_run_01.avi,0.016455,0.02106,0.001995,0.000665,0.000851,8.10E-05,-0.000621,-0.002354,-0.003003,0.034197,0.046363,0.006495, HL,hind,down,45,55,hfren16,3.465,463,516.12,0.004748918,0.006077922,0.000575758,0.037515,0.01082684,38.00190001
103,hfren16_run_03.avi,-0.012406,0.004369,0.000459,-0.001374,0.000484,5.10E-05,-0.024076,-0.006065,-0.006094,0.000174,0.008138,0.003707, HL,hind,up,30,57,hfren16,3.465,463,516.12,-0.003580375,0.001260895,0.000132468,-0.008037,-0.002319481,-70.59935185
109,hfren16_run_10.avi,0.0134,0.025197,-0.000348,0.000753,0.001416,-1.90E-05,-0.002468,-0.001906,-0.002722,0.029456,0.052992,0.003428, HL,hind,up,80,94,hfren16,3.465,463,516.12,0.003867244,0.007271861,-0.000100433,0.038597,0.011139105,28.00446259
110,hfren16_run_12.avi,0.006465,0.026094,-0.001998,0.00032,0.001292,-9.90E-05,-0.008874,-0.012809,-0.006993,0.026443,0.056947,0.002603, HL,hind,up,46,59,hfren16,3.465,463,516.12,0.001865801,0.007530736,-0.000576623,0.032559,0.009396537,13.91528468
112,hfren16_run_13.avi,0.004685,0.015253,0.000751,0.000425,0.001382,6.80E-05,-0.006694,-0.035385,-0.015209,0.015792,0.03429,0.009387, HL,hind,up,78,101,hfren16,3.465,463,516.12,0.001352092,0.00440202,0.000216739,0.019938,0.005754113,17.07448091
114,hfren16_run_14.avi,0.032464,0.034072,0.001782,0.001321,0.001387,7.20E-05,-0.002823,-0.007719,-0.010694,0.12997,0.123,0.015689, HL,hind,down,43,53,hfren16,3.465,463,516.12,0.00936912,0.009833189,0.000514286,0.066536,0.019202309,43.6155813
116,hfren16_run_15.avi,0.00846,0.018004,-0.001081,0.000538,0.001145,-6.90E-05,-0.009824,-0.004085,-0.008225,0.031598,0.047954,0.003147, HL,hind,up,62,78,hfren16,3.465,463,516.12,0.002441558,0.00519596,-0.000311977,0.026464,0.007637518,25.16862393
118,hfren16_run_17.avi,0.008621,0.028343,-0.001708,0.000513,0.001687,-0.000102,-0.005361,-0.004049,-0.008267,0.030684,0.065917,0.004548, HL,hind,up,64,79,hfren16,3.465,463,516.12,0.002488023,0.008179798,-0.000492929,0.036964,0.010667821,16.91802056
120,hfren16_run_18.avi,0.024709,0.029925,0.003491,0.001416,0.001715,2.00E-04,-0.001407,-0.008634,-0.003157,0.084507,0.093104,0.014329, HL,hind,down,40,54,hfren16,3.465,463,516.12,0.007131025,0.008636364,0.001007504,0.054634,0.015767388,39.5464049
122,hfren17_run_02.avi,0.020102,0.017871,-0.002347,0.000945,0.00084,-0.00011,-0.002355,-0.000536,-0.005357,0.046042,0.041588,0.000636, HL,hind,up,61,73,hfren17,2.3,364,382.37,0.00874,0.00777,-0.001020435,0.037973,0.01651,48.36239194
123,hfren17_run_03.avi,0.018516,0.020145,0.002452,0.000604,0.000657,8.00E-05,-0.000908,-0.00324,-0.002017,0.048304,0.052471,0.00976, HL,hind,down,33,41,hfren17,2.3,364,382.37,0.008050435,0.008758696,0.001066087,0.038661,0.01680913,42.58724171
125,hfren17_run_04.avi,0.014845,0.013657,0.001644,0.000588,0.000541,6.50E-05,-0.000133,-0.000422,-0.000932,0.024773,0.024224,0.003376, HL,hind,down,40,50,hfren17,2.3,364,382.37,0.006454348,0.005937826,0.000714783,0.028502,0.012392174,47.38678018
127,hfren17_run_05.avi,0.004144,0.00853,0.002899,0.000246,0.000507,0.000172,-0.000356,-0.00038,3.00E-06,0.007774,0.017762,0.006019, HL,hind,up,110,125,hfren17,2.3,364,382.37,0.001801739,0.003708696,0.001260435,0.012674,0.005510435,25.91116622
134,hfren17_run_09.avi,0.005407,0.014232,-0.000192,0.000359,0.000945,-1.30E-05,-0.00827,-2.00E-06,-0.004991,0.018059,0.023932,0.00345, HL,hind,up,58,75,hfren17,2.3,364,382.37,0.00235087,0.006187826,-8.35E-05,0.019639,0.008538696,20.80271018
136,hfren17_run_10.avi,0.01007,0.013045,-0.002019,0.000843,0.001092,-0.000169,-0.000655,-0.001103,-0.005526,0.018915,0.028294,0.000415, HL,hind,up,88,109,hfren17,2.3,364,382.37,0.004378261,0.005671739,-0.000877826,0.023115,0.01005,37.66610404
140,hfren17_run_12.avi,0.015373,0.019215,-0.003913,0.000718,0.000897,-0.000183,-0.000411,-0.001229,-0.009511,0.032932,0.039991,0.000414, HL,hind,up,55,66,hfren17,2.3,364,382.37,0.006683913,0.008354348,-0.001701304,0.034588,0.015038261,38.66162639
143,hfren17_run_13.avi,0.011723,0.014747,-0.002131,0.000626,0.000788,-0.000114,-0.004356,-0.008251,-0.006249,0.031502,0.037948,0.001332, HL,hind,up,46,59,hfren17,2.3,364,382.37,0.005096957,0.006411739,-0.000926522,0.02647,0.011508696,38.48264014
145,hfren17_run_14.avi,0.016435,0.022438,-0.003971,0.000615,0.000839,-0.000148,-0.002171,-0.004594,-0.007524,0.0387,0.054624,0.000499, HL,hind,up,46,55,hfren17,2.3,364,382.37,0.007145652,0.009755652,-0.001726522,0.038873,0.016901304,36.22138872
146,hfren17_run_15.avi,0.012418,0.01284,0.000623,0.000719,0.000744,3.60E-05,-0.000587,-0.002634,-0.004604,0.036536,0.038369,0.00697, HL,hind,down,33,47,hfren17,2.3,364,382.37,0.00539913,0.005582609,0.00027087,0.025258,0.010981739,44.04281536
148,hfren17_run_16.avi,0.021247,0.025248,0.002177,0.000623,0.00074,6.40E-05,-0.001502,-0.001882,-0.002589,0.056598,0.057726,0.009628, HL,hind,down,35,42,hfren17,2.3,364,382.37,0.009237826,0.010977391,0.000946522,0.046495,0.020215217,40.08168462
152,hfren17_run_18.avi,0.010337,0.009943,-0.002766,0.000457,0.000439,-0.000122,-0.00078,-0.000609,-0.007637,0.026735,0.02251,0.000936, HL,hind,up,54,65,hfren17,2.3,364,382.37,0.004494348,0.004323043,-0.001202609,0.02028,0.008817391,46.11300284
154,hfren17_run_19.avi,0.00735,0.012722,1.30E-05,0.000417,0.000721,1.00E-06,-0.00116,-0.000741,-0.00425,0.021347,0.028602,0.003557, HL,hind,up,66,81,hfren17,2.3,364,382.37,0.003195652,0.005531304,5.65E-06,0.020072,0.008726957,30.01671666
156,hfren17_run_20.avi,0.012086,0.015589,-0.003184,0.000617,0.000796,-0.000163,0.000887,0.000841,-0.005605,0.020215,0.030307,0.001085, HL,hind,up,46,59,hfren17,2.3,364,382.37,0.005254783,0.006777826,-0.001384348,0.027675,0.012032609,37.78607327
158,hfren18_run_01.avi,0.020284,0.041139,0.00625,0.000629,0.001275,0.000194,-0.002936,0.000687,-0.002232,0.037195,0.076789,0.018573, HL,hind,down,33,41,hfren18,3.53,424,437.12,0.005746176,0.011654108,0.001770538,0.061423,0.017400283,26.24606801
163,hfren18_run_04.avi,0.025829,0.03525,0.000389,0.000749,0.001022,1.10E-05,-0.001142,0.000727,-0.006096,0.056755,0.069412,0.008307, HL,hind,down,33,40,hfren18,3.53,424,437.12,0.007316997,0.009985836,0.000110198,0.061079,0.017302833,36.23163469
165,hfren18_run_05.avi,0.013621,0.019386,-0.003651,0.000789,0.001123,-0.000211,-0.00282,-0.003218,-0.0065,0.036929,0.045946,-3.90E-05, HL,hind,up,71,85,hfren18,3.53,424,437.12,0.00385864,0.005491785,-0.001034278,0.033007,0.009350425,35.0926617
167,hfren18_run_06.avi,-0.006281,0.003643,0.001205,-0.00035,0.000203,6.70E-05,-0.020665,-0.001825,-0.005413,0.001463,0.00701,0.005983, HL,hind,up,43,57,hfren18,3.53,424,437.12,-0.00177932,0.001032011,0.00034136,-0.002638,-0.000747309,-59.88613033
168,hfren18_run_07.avi,0.028572,0.03217,0.002263,0.000783,0.000882,6.20E-05,-0.000308,-0.004118,-0.006412,0.055297,0.067653,0.012434, HL,hind,down,27,34,hfren18,3.53,424,437.12,0.008094051,0.009113314,0.000641076,0.060742,0.017207365,41.6100949
171,hfren18_run_09.avi,0.007743,0.01563,-0.001223,0.000357,0.000721,-5.60E-05,-0.006777,-0.007452,-0.005374,0.020193,0.034164,0.001339, HL,hind,up,61,72,hfren18,3.53,424,437.12,0.002193484,0.004427762,-0.000346459,0.023373,0.006621246,26.35351476
176,hfren18_run_12.avi,0.00701,0.016228,-0.001558,0.00032,0.00074,-7.10E-05,-0.002041,-0.005451,-0.003942,0.020409,0.03489,0.000548, HL,hind,up,54,66,hfren18,3.53,424,437.12,0.001985836,0.004597167,-0.00044136,0.023238,0.006583003,23.36286866
178,hfren18_run_13.avi,0.016367,0.025502,0.002381,0.000664,0.001035,9.70E-05,-0.000735,-0.00307,-0.000582,0.03001,0.047554,0.005939, HL,hind,down,46,56,hfren18,3.53,424,437.12,0.004636544,0.007224363,0.000674504,0.041869,0.011860907,32.69205543
181,hfren18_run_16.avi,0.013957,0.030055,-0.001359,0.000674,0.001452,-6.50E-05,-0.004503,-0.003449,-0.00956,0.033172,0.068042,0.005557, HL,hind,up,59,71,hfren18,3.53,424,437.12,0.003953824,0.008514164,-0.000384986,0.044012,0.012467989,24.90930551
183,hfren18_run_17.avi,0.007678,0.019592,-0.000771,0.000618,0.001577,-6.20E-05,-0.004693,-0.001513,-0.006146,0.015806,0.039526,0.001726, HL,hind,up,90,110,hfren18,3.53,424,437.12,0.002175071,0.005550142,-0.000218414,0.02727,0.007725212,21.39994716
187,hfren18_run_20.avi,-0.003705,0.009399,4.00E-04,-0.000146,0.000371,1.60E-05,-0.009598,-0.003061,-0.004332,0.000705,0.023122,0.004862, HL,hind,up,43,53,hfren18,3.53,424,437.12,-0.001049575,0.002662606,0.000113314,0.005694,0.001613031,-21.5139062
188,hfren18_run_21.avi,0.00078,0.011538,-0.003066,4.30E-05,0.000643,-0.000171,-0.010386,-0.006148,-0.009596,0.016209,0.029149,0.000868, HL,hind,up,62,76,hfren18,3.53,424,437.12,0.000220963,0.003268555,-0.000868555,0.012318,0.003489518,3.867465191
190,hfren18_run_22.avi,0.00345,0.013138,-0.001786,0.000213,0.000811,-0.00011,-0.004982,-0.002711,-0.0056,0.011535,0.027388,0.001316, HL,hind,up,61,76,hfren18,3.53,424,437.12,0.000977337,0.003721813,-0.000505949,0.016588,0.00469915,14.7135057
2,hfren11_run_02.avi,0.00073,0.00191,-8.00E-04,6.10E-05,0.00016,-6.70E-05,-0.005662,-0.012875,-0.004003,0.008344,0.014557,0.001513, HR,hind,up,112,133,hfren11,2.75,426,447.1,0.000265455,0.000694545,-0.000290909,0.00264,0.00096,20.9168038
5,hfren11_run_04.avi,-0.02368,0.015558,0.002236,-0.000812,0.000534,7.70E-05,-0.043283,-0.002978,-0.006236,0.001495,0.033818,0.007948, HR,hind,down,36,44,hfren11,2.75,426,447.1,-0.008610909,0.005657455,0.000813091,-0.008122,-0.002953455,-56.69468045
10,hfren11_run_07.avi,-0.011738,0.011691,0.001516,-0.000474,0.000472,6.10E-05,-0.021655,-0.002352,-0.002911,0.002048,0.023393,0.005676, HR,hind,down,47,57,hfren11,2.75,426,447.1,-0.004268364,0.004251273,0.000551273,-4.70E-05,-1.71E-05,-45.11493867
13,hfren11_run_11.avi,-0.006152,0.014727,0.001624,-0.000319,0.000764,8.40E-05,-0.013067,-0.001037,-0.001379,0.000381,0.027307,0.004426, HR,hind,down,62,75,hfren11,2.75,426,447.1,-0.002237091,0.005355273,0.000590545,0.008575,0.003118182,-22.67205644
17,hfren11_run_14.avi,-0.007273,0.01671,0.002571,-0.000418,0.000961,0.000148,-0.015083,-0.00178,-0.004289,0.00053,0.032009,0.006793, HR,hind,down,51,65,hfren11,2.75,426,447.1,-0.002644727,0.006076364,0.000934909,0.009437,0.003431636,-23.52100462
19,hfren11_run_15.avi,0.002633,0.012775,0.000791,0.000208,0.00101,6.30E-05,-0.00017,-0.001089,-0.00472,0.006556,0.023511,0.006291, HR,hind,up,70,90,hfren11,2.75,426,447.1,0.000957455,0.004645455,0.000287636,0.015408,0.005602909,11.64590857
21,hfren11_run_18.avi,-0.006107,0.010761,0.000108,-0.00021,0.00037,4.00E-06,-0.011669,0.000388,-0.00372,0.000742,0.018429,0.002767, HR,hind,down,56,65,hfren11,2.75,426,447.1,-0.002220727,0.003913091,3.93E-05,0.004654,0.001692364,-29.57544412
23,hfren11_run_19.avi,0.001837,0.010819,-0.001719,0.000154,0.000905,-0.000144,-0.001252,-0.000567,-0.007294,0.007419,0.027702,0.001855, HR,hind,up,71,92,hfren11,2.75,426,447.1,0.000668,0.003934182,-0.000625091,0.012656,0.004602182,9.636566899
27,hfren13_run_01.avi,0.0204,0.007099,0.001351,0.000492,0.000171,3.30E-05,-0.001907,-0.001218,-0.004656,0.044363,0.016914,0.005716, HR,hind,up,44,50,hfren13,3.25,419,316.05,0.006276923,0.002184308,0.000415692,0.027499,0.008461231,70.81260444
31,hfren13_run_04.avi,-0.008716,0.016966,0.00189,-0.000367,0.000715,8.00E-05,-0.021368,-0.004851,-0.004991,0.001576,0.039465,0.005898, HR,hind,down,41,52,hfren13,3.25,419,316.05,-0.002681846,0.005220308,0.000581538,0.00825,0.002538462,-27.1910775
34,hfren13_run_06.avi,-0.010718,0.023004,0.004965,-0.00045,0.000966,0.000209,-0.023213,-0.001742,-0.003204,0.002141,0.041878,0.010284, HR,hind,down,40,50,hfren13,3.25,419,316.05,-0.003297846,0.007078154,0.001527692,0.012286,0.003780308,-24.98170471
40,hfren13_run_09.avi,-0.017214,0.01859,0.003176,-0.000709,0.000766,0.000131,-0.045247,-0.002173,-0.002104,0.002334,0.044388,0.007919, HR,hind,down,42,52,hfren13,3.25,419,316.05,-0.005296615,0.00572,0.000977231,0.001376,0.000423385,-42.79912265
42,hfren13_run_10.avi,-0.02335,0.018999,0.00361,-0.000876,0.000713,0.000135,-0.056753,-0.004216,-0.004492,0.003081,0.047485,0.00798, HR,hind,down,36,46,hfren13,3.25,419,316.05,-0.007184615,0.005845846,0.001110769,-0.004351,-0.001338769,-50.86607201
48,hfren13_run_13.avi,-0.012548,0.015872,0.002831,-0.000497,0.000629,0.000112,-0.032818,-0.002932,-0.002179,0.002396,0.034087,0.006874, HR,hind,down,50,59,hfren13,3.25,419,316.05,-0.003860923,0.004883692,0.000871077,0.003324,0.001022769,-38.3290008
63,hfren14_run_02.avi,-0.003124,0.019479,-0.00024,-0.000107,0.000668,-8.00E-06,-0.019012,-0.002411,-0.009846,0.004266,0.045062,0.004974, HR,hind,down,36,45,hfren14,3.87,463,319.5,-0.000807235,0.005033333,-6.20E-05,0.016355,0.004226098,-9.111384098
65,hfren14_run_03.avi,-0.000297,0.02051,0.000406,-9.00E-06,0.000652,1.30E-05,-0.011439,-0.002821,-0.00534,0.009814,0.047066,0.008887, HR,hind,down,34,41,hfren14,3.87,463,319.5,-7.67E-05,0.005299742,0.00010491,0.020213,0.005222997,-0.829627364
67,hfren14_run_04.avi,0.007286,0.031684,-0.006351,0.000303,0.001318,-0.000264,-0.001959,-0.005709,-0.008616,0.018437,0.062753,0.000526, HR,hind,up,50,60,hfren14,3.87,463,319.5,0.001882687,0.00818708,-0.001641085,0.03897,0.010069767,12.9504974
69,hfren14_run_05.avi,-0.001112,0.02977,-0.003959,-4.20E-05,0.001134,-0.000151,-0.012381,-0.002288,-0.007384,0.008717,0.06303,-0.000585, HR,hind,up,43,52,hfren14,3.87,463,319.5,-0.000287339,0.007692506,-0.001022997,0.028658,0.007405168,-2.139177017
71,hfren14_run_07.avi,0.002998,0.016342,-0.001701,0.000131,0.000716,-7.40E-05,-0.005159,-0.001351,-0.0043,0.015201,0.032596,0.000576, HR,hind,up,41,52,hfren14,3.87,463,319.5,0.000774677,0.004222739,-0.000439535,0.01934,0.004997416,10.39552867
77,hfren14_run_11.avi,-0.002892,0.029598,0.000991,-0.000104,0.001066,3.60E-05,-0.015805,-0.003292,-0.008577,0.007764,0.066165,0.009846, HR,hind,down,42,51,hfren14,3.87,463,319.5,-0.000747287,0.007648062,0.000256072,0.026706,0.006900775,-5.580616185
84,hfren14_run_16.avi,-0.002798,0.033803,0.001966,-9.80E-05,0.00118,6.90E-05,-0.015071,-0.001334,-0.006099,0.009934,0.057625,0.014145, HR,hind,down,46,54,hfren14,3.87,463,319.5,-0.000722997,0.008734625,0.00050801,0.031005,0.008011628,-4.731797768
93,hfren14_run_21.avi,-0.004771,0.029011,0.003867,-0.000195,0.001184,0.000158,-0.018273,-0.004541,-0.002851,0.003051,0.08137,0.014514, HR,hind,down,36,46,hfren14,3.87,463,319.5,-0.001232817,0.007496382,0.000999225,0.02424,0.006263566,-9.338976139
95,hfren14_run_22.avi,0.000348,0.014172,0.00476,2.00E-05,0.000809,0.000272,-0.002347,0.000179,-0.002374,0.004613,0.033777,0.012162, HR,hind,up,62,76,hfren14,3.87,463,319.5,8.99E-05,0.003662016,0.001229974,0.01452,0.003751938,1.406641631
96,hfren14_run_23.avi,-0.005337,0.022767,-0.004906,-0.000348,0.001484,-0.00032,-0.014852,-0.001893,-0.007965,0.002674,0.052658,-0.000419, HR,hind,up,71,88,hfren14,3.87,463,319.5,-0.00137907,0.005882946,-0.0012677,0.01743,0.004503876,-13.19295899
97,hfren14_run_24.avi,0.003526,0.01777,-0.000723,0.000228,0.001151,-4.70E-05,-0.005739,-0.004476,-0.002864,0.01049,0.038815,0.002884, HR,hind,up,69,85,hfren14,3.87,463,319.5,0.000911111,0.004591731,-0.000186822,0.021296,0.005502842,11.2230982
101,hfren16_run_02.avi,-0.017001,0.036685,0.005433,-0.000521,0.001121,0.000167,-0.04481,0.001596,-0.009501,0.011349,0.065537,0.015169, HR,hind,down,28,36,hfren16,3.465,463,516.12,-0.004906494,0.010587302,0.001567965,0.019684,0.005680808,-24.8645119
105,hfren16_run_04.avi,-0.006643,0.027758,0.002323,-0.000528,0.002207,0.000185,-0.018196,-0.00226,-0.002396,0.001137,0.054722,0.005727, HR,hind,down,64,84,hfren16,3.465,463,516.12,-0.001917172,0.008010967,0.000670418,0.021115,0.006093795,-13.45880141
107,hfren16_run_08.avi,-0.00242,0.019724,0.00315,-9.20E-05,0.000752,0.00012,-0.006959,-0.002496,-0.003848,0.003338,0.044154,0.009126, HR,hind,down,35,45,hfren16,3.465,463,516.12,-0.000698413,0.005692352,0.000909091,0.017304,0.004993939,-6.994841157
129,hfren17_run_06.avi,-0.004655,0.015526,0.002726,-0.000303,0.001012,0.000178,-0.011946,-0.001083,-0.000752,0.000167,0.031451,0.005917, HR,hind,down,72,88,hfren17,2.3,364,382.37,-0.002023913,0.006750435,0.001185217,0.010871,0.004726522,-16.68976406
132,hfren17_run_08.avi,-0.006274,0.020246,0.004024,-0.000223,0.000721,0.000143,-0.015941,-0.001899,-0.003317,0.001633,0.035704,0.008273, HR,hind,down,46,55,hfren17,2.3,364,382.37,-0.002727826,0.008802609,0.001749565,0.013972,0.006074783,-17.217601
138,hfren17_run_11.avi,-0.007434,0.013001,0.001986,-3.00E-04,0.000524,8.00E-05,-0.014445,-0.0012,-0.000933,0.000353,0.026096,0.00524, HR,hind,down,53,63,hfren17,2.3,364,382.37,-0.003232174,0.005652609,0.000863478,0.005567,0.002420435,-29.7610152
142,hfren17_run_13.avi,-0.005869,0.009455,-0.003883,-0.000219,0.000354,-0.000145,-0.015064,-0.003208,-0.012159,0.002455,0.025674,0.000778, HR,hind,up,37,46,hfren17,2.3,364,382.37,-0.002551739,0.00411087,-0.001688261,0.003586,0.00155913,-31.82910585
150,hfren17_run_17.avi,-0.007242,0.009609,-0.003454,-0.000354,0.00047,-0.000169,-0.016596,-0.000133,-0.007138,0.001325,0.018989,0.000423, HR,hind,up,73,86,hfren17,2.3,364,382.37,-0.003148696,0.004177826,-0.001501739,0.002367,0.00102913,-37.00417992
160,hfren18_run_02.avi,0.001971,-0.022949,0.002732,9.90E-05,-0.00115,0.000137,-0.006726,-0.10246,-0.003108,0.009887,0.007309,0.013625, HR,hind,up,46,58,hfren18,3.53,424,437.12,0.000558357,-0.006501133,0.000773938,-0.020978,-0.005942776,-4.908864477
161,hfren18_run_03.avi,-0.016071,0.045555,0.004332,-0.00045,0.001275,0.000121,-0.033146,-0.000759,-0.009646,-0.000478,0.09278,0.015621, HR,hind,down,28,35,hfren18,3.53,424,437.12,-0.004552691,0.012905099,0.001227195,0.029484,0.008352408,-19.4319424
169,hfren18_run_08.avi,-0.010585,0.029968,0.000768,-0.000313,0.000887,2.30E-05,-0.03491,-0.001249,-0.010553,0.005206,0.058035,0.006363, HR,hind,down,28,36,hfren18,3.53,424,437.12,-0.002998584,0.008489518,0.000217564,0.019383,0.005490935,-19.45373463
172,hfren18_run_10.avi,-0.01102,0.024869,0.002112,-0.000278,0.000627,5.30E-05,-0.02491,-0.007055,-0.006906,0.001154,0.060083,0.010839, HR,hind,down,25,31,hfren18,3.53,424,437.12,-0.003121813,0.007045042,0.0005983,0.013849,0.003923229,-23.89918371
