,filename,MeanX,MeanY,MeanZ,IntergralX,IntergralY,IntergralZ,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,foot,foot2,direction,footfall_begin,footfall_end,individual,bodymass,SVL,TL,MeanX_rel,MeanY_rel,MeanZ_rel,MeanXY,MeanXY_rel,dirMeanXY_rel
53,hfren13_run_18.avi,-0.012207,-0.002496,0.003084,-0.000604,-0.000123,0.000153,-0.022898,-0.00647,-0.002593,-0.000607,0.000179,0.00636, FL,fore,up,25,37,hfren13,3.25,419,316.05,-0.003756,-0.000768,0.000948923,-0.014703,-0.004524,78.4438625
56,hfren13_run_20.avi,0.000427,0.004571,-0.002893,1.90E-05,0.000198,-0.000126,-0.004122,-0.000176,-0.012302,0.005339,0.016381,0.00111, FL,fore,down,34,45,hfren13,3.25,419,316.05,0.000131385,0.001406462,-0.000890154,0.004998,0.001537846,5.336798028
58,hfren13_run_22.avi,0.00108,0.021226,0.003426,6.50E-05,0.001266,0.000205,-0.008331,-0.011242,-0.010174,0.00577,0.034801,0.006515, FL,fore,up,71,85,hfren13,3.25,419,316.05,0.000332308,0.006531077,0.001054154,0.022306,0.006863385,2.912754418
60,hfren14_run_01.avi,0.010843,0.012309,-0.004216,0.000234,0.000266,-9.10E-05,-0.017237,-0.006821,-0.048344,0.037417,0.04671,0.007455, FL,fore,down,28,34,hfren14,3.87,463,319.5,0.002801809,0.00318062,-0.001089406,0.023152,0.005982429,41.37683044
70,hfren14_run_06.avi,0.001787,0.004704,-0.003308,6.70E-05,0.000176,-0.000123,-0.007424,-0.003523,-0.022939,0.011037,0.024998,0.003509, FL,fore,down,30,39,hfren14,3.87,463,319.5,0.000461757,0.001215504,-0.00085478,0.006491,0.001677261,20.80125628
72,hfren14_run_08.avi,0.010575,0.016205,-0.00552,0.000403,0.000618,-0.00021,-0.007235,-0.003042,-0.025037,0.024847,0.035222,0.005415, FL,fore,down,38,47,hfren14,3.87,463,319.5,0.002732558,0.004187339,-0.001426357,0.02678,0.006919897,33.12751685
74,hfren14_run_10.avi,-0.009802,0.01345,0.005852,-0.000411,0.000564,0.000245,-0.01983,-0.005671,-0.00607,0.000263,0.033313,0.013278, FL,fore,up,47,58,hfren14,3.87,463,319.5,-0.002532817,0.003475452,0.001512145,0.003648,0.000942636,-36.08356406
79,hfren14_run_13.avi,-9.40E-05,0.00883,-0.008716,-3.00E-06,0.000284,-0.00028,-0.024685,-0.006467,-0.04395,0.031231,0.036368,0.005155, FL,fore,down,33,41,hfren14,3.87,463,319.5,-2.43E-05,0.002281654,-0.002252196,0.008736,0.002257364,-0.609920706
81,hfren14_run_15.avi,0.000308,0.00802,-0.003457,1.20E-05,0.000308,-0.000133,-0.023686,-0.000754,-0.012904,0.017977,0.021285,0.001783, FL,fore,down,44,53,hfren14,3.87,463,319.5,7.96E-05,0.002072351,-0.000893282,0.008328,0.002151938,2.199305742
86,hfren14_run_18.avi,-0.024912,-0.004128,0.004156,-0.001283,-0.000213,0.000214,-0.037326,-0.006725,-0.003691,0.000293,-0.000821,0.007389, FL,fore,up,60,73,hfren14,3.87,463,319.5,-0.006437209,-0.001066667,0.001073902,-0.02904,-0.007503876,80.59139257
88,hfren14_run_19.avi,-0.013118,0.01729,0.008318,-0.000606,0.000799,0.000384,-0.026762,-0.001987,-0.009902,0.002651,0.043688,0.017119, FL,fore,up,41,53,hfren14,3.87,463,319.5,-0.003389664,0.0044677,0.002149354,0.004172,0.001078036,-37.18775253
90,hfren14_run_20.avi,0.000281,0.011047,-0.004793,1.00E-05,0.000388,-0.000168,-0.018294,1.30E-05,-0.01693,0.023398,0.026257,0.004972, FL,fore,down,39,48,hfren14,3.87,463,319.5,7.26E-05,0.002854522,-0.001238501,0.011328,0.002927132,1.457105366
98,hfren16_run_01.avi,0.000754,0.006436,-0.003092,2.90E-05,0.000246,-0.000118,-0.00371,-0.000428,-0.006735,0.004105,0.011928,0.000166, FL,fore,down,36,45,hfren16,3.465,463,516.12,0.000217605,0.001857431,-0.000892352,0.00719,0.002075036,6.681943084
102,hfren16_run_03.avi,-0.012406,0.004369,0.000459,-0.001374,0.000484,5.10E-05,-0.024076,-0.006065,-0.006094,0.000174,0.008138,0.003707, FL,fore,up,30,57,hfren16,3.465,463,516.12,-0.003580375,0.001260895,0.000132468,-0.008037,-0.002319481,-70.59935185
108,hfren16_run_10.avi,-0.006055,0.009897,0.000917,-0.000366,0.000599,5.60E-05,-0.009692,-0.00887,-0.011612,0.000611,0.023267,0.005943, FL,fore,up,64,80,hfren16,3.465,463,516.12,-0.001747475,0.002856277,0.000264646,0.003842,0.001108802,-31.4583597
111,hfren16_run_13.avi,-0.00341,0.016794,0.002487,-0.000232,0.001142,0.000169,-0.013661,-0.001595,-0.006021,0.004469,0.028986,0.006064, FL,fore,up,61,78,hfren16,3.465,463,516.12,-0.000984127,0.004846753,0.000717749,0.013384,0.003862626,-11.47779328
113,hfren16_run_14.avi,0.000736,0.007586,-0.004671,1.90E-05,2.00E-04,-0.000123,-0.0124,-0.001316,-0.022354,0.01801,0.048139,0.001868, FL,fore,down,36,42,hfren16,3.465,463,516.12,0.00021241,0.002189322,-0.001348052,0.008322,0.002401732,5.541539811
115,hfren16_run_15.avi,-0.009794,0.009032,0.001661,-0.000518,0.000478,8.80E-05,-0.021982,-0.004085,-0.012265,0.000607,0.022101,0.007341, FL,fore,up,50,63,hfren16,3.465,463,516.12,-0.002826551,0.002606638,0.000479365,-0.000762,-0.000219913,-47.31783517
117,hfren16_run_17.avi,-0.007083,0.011411,0.002332,-0.000394,0.000636,0.00013,-0.01364,-0.004804,-0.008568,0.000466,0.023449,0.006135, FL,fore,up,51,64,hfren16,3.465,463,516.12,-0.002044156,0.003293218,0.000673016,0.004328,0.001249062,-31.82857146
119,hfren16_run_18.avi,0.013137,0.0087,0.000817,0.000398,0.000264,2.50E-05,-0.00043,-0.001006,-0.0163,0.03146,0.018556,0.006984, FL,fore,down,33,40,hfren16,3.465,463,516.12,0.003791342,0.002510823,0.000235786,0.021837,0.006302165,56.4854167
121,hfren17_run_02.avi,-0.004829,0.012292,0.003005,-0.00024,0.00061,0.000149,-0.012182,-0.00052,-0.002909,0.000313,0.026438,0.006547, FL,fore,up,49,61,hfren17,2.3,364,382.37,-0.002099565,0.005344348,0.001306522,0.007463,0.003244783,-21.44773633
124,hfren17_run_04.avi,0.005143,0.006726,-0.000761,0.000185,0.000242,-2.70E-05,-0.004754,-0.00055,-0.004373,0.021638,0.020863,0.002305, FL,fore,down,32,41,hfren17,2.3,364,382.37,0.002236087,0.002924348,-0.00033087,0.011869,0.005160435,37.40314323
126,hfren17_run_05.avi,-0.001311,0.013889,0.00306,-9.00E-05,0.000954,0.00021,-0.006773,-0.000582,-0.000274,0.003484,0.027613,0.007362, FL,fore,up,93,110,hfren17,2.3,364,382.37,-0.00057,0.006038696,0.001330435,0.012578,0.005468696,-5.39224339
130,hfren17_run_07.avi,0.000277,0.013985,0.002701,1.70E-05,0.00085,0.000164,-0.003941,5.00E-06,-0.00037,0.004381,0.023542,0.004634, FL,fore,up,21,36,hfren17,2.3,364,382.37,0.000120435,0.006080435,0.001174348,0.014262,0.00620087,1.134705466
133,hfren17_run_09.avi,-0.000367,0.014468,0.003985,-2.10E-05,0.000827,0.000228,-0.010983,-0.000818,-0.00111,0.004986,0.029632,0.008574, FL,fore,up,45,59,hfren17,2.3,364,382.37,-0.000159565,0.006290435,0.001732609,0.014101,0.00613087,-1.453071797
135,hfren17_run_10.avi,0.00018,0.010247,0.00191,1.40E-05,0.00079,0.000147,-0.003049,-0.000638,-0.001116,0.003529,0.021177,0.003993, FL,fore,up,43,62,hfren17,2.3,364,382.37,7.83E-05,0.004455217,0.000830435,0.010427,0.004533478,1.00636086
139,hfren17_run_12.avi,-0.009013,0.005518,0.004179,-0.000352,0.000215,0.000163,-0.02243,-0.001229,-0.007193,0.000865,0.014709,0.010513, FL,fore,up,45,55,hfren17,2.3,364,382.37,-0.003918696,0.00239913,0.001816957,-0.003495,-0.001519565,-58.52391556
144,hfren17_run_14.avi,-0.00998,0.00578,0.002299,-0.000379,0.00022,8.80E-05,-0.025923,-0.01238,-0.004428,0.00736,0.014668,0.006948, FL,fore,up,37,46,hfren17,2.3,364,382.37,-0.00433913,0.002513043,0.000999565,-0.0042,-0.001826087,-59.92236571
147,hfren17_run_16.avi,0.003993,0.007431,-0.001569,0.000101,0.000189,-4.00E-05,-0.010869,-0.001269,-0.012664,0.019921,0.021734,0.003405, FL,fore,down,29,35,hfren17,2.3,364,382.37,0.001736087,0.00323087,-0.000682174,0.011424,0.004966957,28.25107496
149,hfren17_run_17.avi,-0.007623,0.008493,0.00301,-0.000347,0.000386,0.000137,-0.014815,-0.002148,-0.0044,0.003158,0.019947,0.006696, FL,fore,up,51,62,hfren17,2.3,364,382.37,-0.003314348,0.003692609,0.001308696,0.00087,0.000378261,-41.90996584
151,hfren17_run_18.avi,-0.006769,0.006597,0.002927,-0.000267,0.000261,0.000116,-0.017565,-0.000516,-0.004171,0.002013,0.017106,0.008421, FL,fore,up,44,54,hfren17,2.3,364,382.37,-0.002943043,0.002868261,0.001272609,-0.000172,-7.48E-05,-45.73726845
153,hfren17_run_19.avi,-0.005993,0.005518,0.003221,-0.000301,0.000277,0.000162,-0.010501,-0.001627,-0.004016,0.001394,0.011435,0.007824, FL,fore,up,54,67,hfren17,2.3,364,382.37,-0.002605652,0.00239913,0.001400435,-0.000475,-0.000206522,-47.3629627
155,hfren17_run_20.avi,-0.003132,0.009305,0.002794,-0.000187,0.000553,0.000166,-0.01267,-0.000607,-0.001714,0.00613,0.015456,0.006124, FL,fore,up,31,46,hfren17,2.3,364,382.37,-0.001361739,0.004045652,0.001214783,0.006173,0.002683913,-18.60288457
157,hfren18_run_01.avi,-0.005751,0.006113,-0.006768,-0.000176,0.000187,-0.000207,-0.028,-0.000826,-0.038122,0.007572,0.044031,0.001917, FL,fore,down,26,34,hfren18,3.53,424,437.12,-0.001629178,0.001731728,-0.00191728,0.000362,0.00010255,-43.25230622
162,hfren18_run_04.avi,-0.000604,0.00836,-0.00587,-1.70E-05,0.000231,-0.000162,-0.008091,-0.000471,-0.021754,0.012486,0.049133,0.000192, FL,fore,down,26,33,hfren18,3.53,424,437.12,-0.000171105,0.002368272,-0.00166289,0.007756,0.002197167,-4.132371341
164,hfren18_run_05.avi,-0.007681,0.012627,0.004351,-0.000375,0.000618,0.000213,-0.017316,-0.003355,-0.007508,-9.80E-05,0.036532,0.013136, FL,fore,up,59,71,hfren18,3.53,424,437.12,-0.002175921,0.003577054,0.001232578,0.004946,0.001401133,-31.31213568
166,hfren18_run_06.avi,-0.001454,0.003972,4.80E-05,-4.20E-05,0.000115,1.00E-06,-0.005139,-0.006147,-0.013024,0.003583,0.011205,0.003492, FL,fore,up,36,43,hfren18,3.53,424,437.12,-0.000411898,0.001125212,1.36E-05,0.002518,0.000713314,-20.1057805
170,hfren18_run_09.avi,-0.005794,0.009418,0.002047,-0.000253,0.000412,9.00E-05,-0.0155,-0.009867,-0.007617,0.004589,0.02749,0.007055, FL,fore,up,50,61,hfren18,3.53,424,437.12,-0.00164136,0.002667989,0.000579887,0.003624,0.001026629,-31.60003417
175,hfren18_run_12.avi,-0.01574,0.006081,0.004418,-0.000623,0.000241,0.000175,-0.031987,-0.002867,-0.003633,-0.000271,0.015372,0.01072, FL,fore,up,44,54,hfren18,3.53,424,437.12,-0.004458924,0.001722663,0.001251558,-0.009659,-0.002736261,-68.87643262
177,hfren18_run_13.avi,0.001616,0.008969,-0.004918,5.80E-05,0.000324,-0.000178,-0.008913,-0.000391,-0.014469,0.014172,0.03319,0.000595, FL,fore,down,37,46,hfren18,3.53,424,437.12,0.00045779,0.002540793,-0.001393201,0.010585,0.002998584,10.21375002
180,hfren18_run_16.avi,-0.003484,0.011372,0.001522,-0.000177,0.000578,7.80E-05,-0.009515,-0.006088,-0.008273,0.004454,0.032342,0.008279, FL,fore,up,47,59,hfren18,3.53,424,437.12,-0.000986969,0.00322153,0.000431161,0.007888,0.002234561,-17.03331048
182,hfren18_run_17.avi,-0.004035,0.013972,0.004882,-0.000244,0.000847,0.000296,-0.007975,-0.003272,-0.004908,0.003576,0.02671,0.010313, FL,fore,up,74,89,hfren18,3.53,424,437.12,-0.001143059,0.003958074,0.001383003,0.009937,0.002815014,-16.10828748
186,hfren18_run_20.avi,-0.010689,0.003716,0.00299,-0.000348,0.000121,9.80E-05,-0.023985,-0.003125,-0.004429,0.006357,0.010707,0.007147, FL,fore,up,35,43,hfren18,3.53,424,437.12,-0.003028045,0.001052691,0.000847025,-0.006973,-0.001975354,-70.83014017
189,hfren18_run_22.avi,-0.005718,0.011097,0.001623,-0.000329,0.000638,9.30E-05,-0.012565,-0.004125,-0.004153,0.000215,0.030159,0.005356, FL,fore,up,46,61,hfren18,3.53,424,437.12,-0.00161983,0.003143626,0.000459773,0.005379,0.001523796,-27.26089219
1, hfren11_run_01.avi,-0.000637,0.004432,-0.00394,-3.20E-05,0.000221,-0.000196,-0.01185,-0.000754,-0.008858,0.006049,0.014705,0.000735, FR,fore,down,35,48,hfren11,2.75,426,447.1,-0.000231636,0.001611636,-0.001432727,0.003795,0.00138,-8.178963277
4,hfren11_run_04.avi,-0.008508,0.006227,-0.005081,-0.000231,0.000169,-0.000138,-0.039644,-0.004674,-0.02378,0.048729,0.045936,0.004473, FR,fore,down,28,35,hfren11,2.75,426,447.1,-0.003093818,0.002264364,-0.001847636,-0.002281,-0.000829455,-53.79962588
8,hfren11_run_06.avi,0.015232,0.01613,0.003249,0.001071,0.001134,0.000228,-0.001476,-0.005237,-0.005553,0.033461,0.044656,0.00739, FR,fore,up,37,54,hfren11,2.75,426,447.1,0.005538909,0.005865455,0.001181455,0.031362,0.011404364,43.35987642
14,hfren11_run_12.avi,0.010431,0.009043,0.002978,0.000669,0.00058,0.000191,-0.000265,-0.003628,-0.009145,0.021324,0.023408,0.007908, FR,fore,up,44,60,hfren11,2.75,426,447.1,0.003793091,0.003288364,0.001082909,0.019474,0.007081455,49.07683498
16,hfren11_run_14.avi,-0.000238,0.003223,-0.001355,-1.00E-05,0.000129,-5.40E-05,-0.006123,0.000111,-0.007648,0.007567,0.005286,0.000317, FR,fore,down,41,51,hfren11,2.75,426,447.1,-8.65E-05,0.001172,-0.000492727,0.002985,0.001085455,-4.223298172
18,hfren11_run_15.avi,0.014777,0.016433,0.003289,0.000866,0.000963,0.000193,-0.000389,-0.001207,-0.00423,0.027186,0.034537,0.007111, FR,fore,up,56,70,hfren11,2.75,426,447.1,0.005373455,0.005975636,0.001196,0.03121,0.011349091,41.9627389
