-0.060	0.002	0.057	3.566	-6.807	8.275
-0.059	0.002	0.050	3.568	-6.250	8.708
-0.064	-0.006	0.060	3.397	-6.677	9.135
-0.073	0.010	0.067	3.794	-6.235	8.704
-0.064	0.010	0.076	3.283	-6.999	8.705
-0.064	0.005	0.033	3.645	-6.719	8.420
-0.069	0.013	0.051	3.124	-6.488	8.851
-0.069	0.013	0.026	3.367	-6.079	8.853
-0.069	0.013	0.033	3.127	-6.212	8.422
-0.064	0.010	0.043	3.288	-6.451	9.139
-0.069	0.008	0.085	3.237	-6.602	8.991
-0.073	0.010	0.068	3.313	-7.072	9.133
-0.073	0.021	0.076	3.317	-7.241	8.846
-0.059	0.024	0.085	3.572	-6.867	8.993
-0.060	0.018	0.051	3.216	-6.717	8.709
-0.069	0.024	0.058	3.128	-6.658	8.564
-0.064	0.021	0.083	3.049	-6.746	8.420
-0.073	0.021	0.076	2.601	-6.814	8.849
-0.059	0.029	0.101	2.496	-7.567	8.849
-0.073	0.026	0.094	2.722	-6.266	9.137
-0.078	0.013	0.100	2.431	-6.672	8.416
-0.082	0.021	0.083	3.109	-6.323	8.417
-0.078	0.024	0.058	2.677	-7.282	8.560
-0.078	0.029	0.073	2.800	-6.732	7.988
-0.078	0.018	0.074	2.556	-6.698	8.274
-0.073	0.026	0.081	2.484	-6.964	7.844
-0.078	0.029	0.092	2.559	-6.585	8.418
-0.073	0.021	0.125	2.596	-6.796	8.416
-0.073	0.032	0.116	2.602	-6.691	8.131
-0.073	0.037	0.107	2.725	-6.991	7.987
-0.078	0.029	0.089	2.079	-7.419	7.556
-0.073	0.032	0.079	2.606	-6.980	7.271
-0.078	0.040	0.089	2.085	-7.032	7.701
-0.069	0.034	0.114	1.931	-7.217	7.414
-0.073	0.026	0.107	2.003	-6.950	7.844
-0.087	0.029	0.114	2.109	-6.358	7.556
-0.083	0.032	0.116	2.152	-7.315	8.127
-0.083	0.026	0.122	1.553	-7.008	7.411
