0.542	2.163	-2.078	8.629	7.315	30.602
0.538	2.161	-2.070	8.105	7.718	30.459
0.547	2.161	-2.068	8.074	7.504	31.322
0.552	2.174	-2.067	7.885	7.358	31.611
0.552	2.163	-2.067	7.642	7.394	31.467
0.538	2.166	-2.025	7.980	7.013	31.603
0.552	2.169	-2.066	7.763	7.375	31.754
0.552	2.163	-2.048	7.398	6.699	32.325
0.538	2.161	-2.031	7.382	7.592	32.180
0.552	2.169	-2.063	7.044	6.960	32.615
0.552	2.169	-2.062	7.044	6.959	33.046
0.547	2.166	-2.079	7.000	7.349	32.903
0.556	2.171	-2.088	6.852	6.419	32.760
0.556	2.171	-2.105	6.855	6.693	32.762
0.561	2.174	-2.131	6.904	6.571	32.477
0.565	2.182	-2.131	7.787	6.011	32.475
0.565	2.182	-2.114	7.309	6.582	32.477
0.575	2.171	-2.096	7.272	6.549	32.765
0.588	2.168	-2.105	6.926	5.540	32.622
0.584	2.160	-2.122	7.477	5.519	32.620
0.584	2.155	-2.105	7.355	6.103	32.764
0.593	2.155	-2.122	7.565	5.743	32.765
0.597	2.142	-2.114	7.245	5.966	32.479
0.597	2.152	-2.132	7.730	5.782	32.192
0.607	2.152	-2.124	7.700	5.854	32.194
0.606	2.147	-2.143	7.341	5.730	31.478
0.611	2.144	-2.135	7.265	5.917	31.335
0.616	2.152	-2.152	8.870	6.045	31.335
0.607	2.142	-2.154	8.656	6.293	30.759
0.611	2.144	-2.178	8.227	6.175	30.906
0.611	2.128	-2.137	8.337	6.799	30.474
0.620	2.139	-2.113	8.548	6.561	30.187
0.630	2.134	-2.138	8.877	6.354	30.332
0.630	2.123	-2.123	9.111	6.952	29.758
0.643	2.126	-2.148	8.889	6.199	29.904
0.643	2.120	-2.122	9.723	7.056	30.047
0.653	2.120	-2.115	9.456	7.552	29.620
0.662	2.120	-2.141	9.909	8.169	29.195
0.671	2.109	-2.117	10.111	7.997	29.050
0.680	2.099	-2.134	10.558	8.510	28.909
0.676	2.091	-2.109	10.628	9.068	28.908
0.676	2.096	-2.134	10.993	9.460	28.767
0.694	2.096	-2.143	11.413	9.591	28.771
0.694	2.085	-2.142	11.887	10.038	29.057
0.685	2.091	-2.117	11.799	10.664	28.913
0.690	2.093	-2.100	12.560	10.687	29.055
0.671	2.093	-2.105	11.901	10.412	29.913
0.681	2.088	-2.113	12.230	10.771	30.059
0.676	2.101	-2.119	12.551	11.388	30.779
0.667	2.107	-2.136	13.184	11.852	30.635
0.667	2.101	-2.160	12.824	11.441	31.209
0.672	2.099	-2.160	12.988	11.763	31.067
0.672	2.093	-2.171	13.348	12.335	30.350
0.667	2.101	-2.185	14.501	11.836	31.208
0.676	2.080	-2.185	14.463	12.532	31.354
0.685	2.069	-2.210	14.432	12.766	31.214
0.695	2.069	-2.202	14.164	13.260	31.218
0.713	2.064	-2.175	15.175	13.270	31.792
0.709	2.051	-2.156	14.644	13.567	32.365
0.722	2.053	-2.165	15.379	13.372	32.079
0.722	2.053	-2.147	14.660	13.524	32.511
0.736	2.061	-2.164	14.800	13.455	32.516
0.727	2.061	-2.190	14.833	13.659	32.085
0.732	2.064	-2.171	14.641	14.532	32.663
0.750	2.069	-2.197	14.943	13.660	32.522
0.746	2.066	-2.171	15.132	13.360	32.805
0.759	2.069	-2.196	14.912	13.448	32.954
0.745	2.067	-2.220	15.137	13.342	33.238
0.755	2.061	-2.213	14.985	13.432	32.953
0.741	2.064	-2.197	15.327	13.043	32.660
0.755	2.051	-2.195	14.501	13.615	33.239
0.755	2.045	-2.186	14.616	13.493	33.381
0.768	2.048	-2.186	14.632	13.166	33.527
0.768	2.043	-2.160	14.267	12.774	33.668
0.768	2.048	-2.160	13.911	12.762	33.526
0.778	2.048	-2.152	13.881	12.833	33.528
0.773	2.056	-2.160	13.839	12.211	33.526
0.787	2.064	-2.177	14.457	12.137	33.530
0.814	2.037	-2.193	14.002	13.125	33.826
0.870	2.016	-2.193	14.535	14.018	33.552
0.943	1.978	-2.211	15.358	13.548	33.276
1.012	1.933	-2.233	15.532	12.088	34.288
1.049	1.895	-2.203	15.034	12.208	35.729
1.044	1.882	-2.156	15.218	12.924	37.161
1.003	1.879	-2.154	16.721	12.185	38.293
0.962	1.904	-2.168	16.686	12.075	39.147
0.934	1.920	-2.190	15.947	12.237	40.006
0.915	1.915	-2.251	14.692	11.681	41.871
0.893	1.955	-2.239	15.438	11.097	43.157
0.870	1.973	-2.194	15.933	11.295	44.155
0.861	1.984	-2.283	15.976	11.299	45.163
0.838	1.981	-2.297	15.274	11.696	45.879
0.847	1.987	-2.319	15.607	11.874	47.031
0.856	1.976	-2.333	16.529	11.538	47.747
0.875	1.965	-2.274	17.416	11.858	48.033
0.884	1.949	-2.239	17.017	11.991	48.464
0.889	1.925	-2.210	17.643	11.538	49.750
0.889	1.920	-2.209	17.763	12.814	49.897
0.871	1.909	-2.232	18.778	13.670	50.611
0.875	1.912	-2.256	18.588	13.970	50.759
0.884	1.917	-2.262	18.442	13.879	51.479
0.880	1.946	-2.214	19.363	14.323	50.904
0.866	1.960	-2.210	19.233	14.597	52.051
0.857	1.976	-2.287	19.640	15.572	51.627
0.853	1.989	-2.272	19.720	15.783	51.052
0.830	1.997	-2.297	20.219	15.853	51.048
0.816	1.984	-2.231	20.908	15.948	50.752
0.798	1.968	-2.181	20.357	16.024	50.744
0.816	1.957	-2.148	20.528	15.923	50.602
0.807	1.946	-2.167	21.271	15.596	50.023
0.811	1.922	-2.185	20.951	16.264	49.595
0.811	1.912	-2.185	21.188	17.136	49.453
0.830	1.906	-2.143	21.240	16.882	49.597
0.839	1.901	-2.152	21.091	17.247	49.314
0.867	1.896	-2.095	21.353	16.928	48.597
0.871	1.888	-2.080	21.153	16.575	48.165
0.876	1.890	-2.071	20.960	17.166	48.312
0.862	1.898	-2.080	21.188	17.174	48.310
0.862	1.893	-2.075	21.063	15.796	47.156
0.848	1.906	-2.052	21.649	15.655	46.577
0.839	1.901	-2.044	20.361	15.760	46.290
0.852	1.898	-2.063	20.974	15.300	45.717
0.921	1.863	-2.157	22.362	15.738	45.160
1.031	1.789	-2.235	22.460	15.507	44.608
1.127	1.701	-2.251	21.811	15.099	44.623
1.220	1.636	-2.181	22.436	15.437	45.496
1.280	1.580	-2.029	23.577	15.534	45.925
1.261	1.564	-1.974	24.220	16.014	47.207
1.220	1.588	-2.020	22.513	15.208	48.495
1.155	1.642	-2.119	21.320	15.239	49.211
1.091	1.669	-2.160	20.709	16.070	49.348
1.059	1.704	-2.139	19.448	15.176	50.778
1.059	1.741	-2.127	18.380	12.829	51.923
1.054	1.781	-2.175	18.599	13.211	52.360
1.054	1.792	-2.224	18.372	14.003	52.941
1.050	1.821	-2.263	16.909	13.876	53.665
1.050	1.853	-2.320	18.128	15.145	54.104
1.082	1.861	-2.345	19.645	15.196	54.111
1.119	1.818	-2.296	19.978	14.496	53.966
1.137	1.765	-2.142	17.248	14.315	54.536
1.138	1.754	-2.047	17.474	14.936	55.249
1.119	1.754	-2.039	18.492	16.473	55.247
1.106	1.768	-2.107	19.328	16.998	55.105
1.105	1.784	-2.165	18.265	16.660	55.111
1.101	1.808	-2.156	17.157	17.406	55.117
1.115	1.853	-2.141	17.193	17.515	54.550
1.110	1.888	-2.110	17.758	17.380	53.832
1.083	1.930	-2.116	16.673	18.030	54.408
1.037	1.973	-2.168	16.611	19.362	53.692
0.991	2.010	-2.172	17.135	19.461	52.679
0.945	2.032	-2.139	18.006	19.476	52.523
0.927	2.032	-2.090	17.106	19.926	52.089
0.936	2.016	-2.032	16.470	21.333	51.662
0.941	1.976	-1.958	16.489	21.378	51.225
0.959	1.960	-1.959	16.064	21.009	50.797
0.973	1.941	-1.976	15.597	21.870	50.660
1.005	1.939	-1.976	14.718	22.408	50.527
1.028	1.941	-1.953	15.657	21.871	49.810
1.047	1.930	-1.870	16.064	22.206	49.666
1.060	1.933	-1.847	15.362	22.318	48.953
1.051	1.923	-1.838	14.192	22.859	48.810
1.037	1.915	-1.900	13.821	22.486	47.948
0.991	1.925	-1.893	14.208	21.269	47.645
0.982	1.931	-1.885	12.684	20.502	47.500
0.972	1.931	-1.838	11.991	20.320	46.635
0.968	1.923	-1.856	12.064	20.305	46.204
0.977	1.907	-1.891	11.672	19.856	45.775
0.986	1.918	-1.907	11.169	19.470	45.922
0.986	1.918	-1.851	10.689	20.618	45.063
0.991	1.920	-1.835	10.493	19.812	44.774
1.014	1.923	-1.818	10.954	18.995	44.919
1.013	1.934	-1.835	9.526	18.831	44.637
1.009	1.926	-1.821	9.357	18.691	43.773
0.986	1.949	-1.822	10.216	17.876	43.765
0.958	1.955	-1.857	9.473	17.371	43.187
0.930	1.966	-1.842	9.325	16.860	42.892
0.916	1.968	-1.884	8.240	17.027	42.607
0.907	1.990	-1.920	8.518	15.618	42.029
0.898	2.000	-1.977	8.079	15.079	42.605
0.870	2.006	-1.968	7.810	15.142	42.886
0.852	2.022	-1.978	7.999	15.652	42.454
0.838	2.030	-1.928	8.459	15.537	42.448
0.829	2.035	-1.935	8.131	14.611	42.731
0.820	2.041	-1.950	7.326	14.246	43.448
0.806	2.038	-1.959	8.026	13.861	43.299
0.792	2.019	-1.965	7.882	13.533	44.011
0.783	2.025	-1.948	7.791	13.033	44.294
0.769	2.027	-1.939	8.134	13.201	44.433
0.764	2.025	-1.972	8.807	12.596	44.717
0.778	2.027	-1.990	8.823	11.704	44.432
0.787	2.022	-1.995	8.908	10.802	45.435
0.792	2.035	-2.005	9.200	11.211	44.865
0.787	2.027	-1.986	9.505	10.221	45.719
0.792	2.019	-1.968	10.020	9.439	46.145
0.783	2.014	-1.992	9.211	9.245	46.719
0.778	2.027	-1.974	10.244	8.603	47.000
0.760	2.011	-1.947	10.651	8.658	47.853
0.755	2.024	-1.956	11.687	8.008	47.706
0.760	2.016	-1.960	11.250	8.066	48.999
0.769	2.027	-1.976	12.182	7.665	49.143
0.792	2.024	-2.001	13.241	6.704	49.431
0.801	2.013	-2.009	12.489	6.249	49.720
0.815	2.021	-2.000	13.583	6.179	49.721
0.829	2.024	-2.025	14.795	5.411	49.864
0.842	2.016	-2.066	15.050	5.381	50.299
0.847	2.002	-2.083	15.208	4.748	50.440
0.847	1.997	-2.098	15.801	3.770	51.010
0.842	2.010	-2.097	16.361	4.249	51.298
0.842	2.010	-2.130	16.601	3.533	51.727
0.838	2.002	-2.145	16.913	3.934	52.157
0.829	2.013	-2.187	17.670	4.371	52.302
0.847	2.023	-2.185	17.853	3.911	52.879
0.852	2.021	-2.227	19.219	4.907	52.739
0.856	2.007	-2.227	18.416	3.169	52.878
0.861	2.010	-2.278	18.948	3.874	52.596
0.879	2.010	-2.295	18.893	4.566	52.604
0.875	2.007	-2.313	19.806	4.947	52.029
0.884	2.002	-2.348	20.135	4.458	51.743
0.893	1.986	-2.390	19.745	4.566	51.747
0.902	1.975	-2.382	19.949	4.669	51.604
0.911	1.981	-2.409	20.044	4.433	51.034
0.911	1.975	-2.411	19.925	5.293	50.319
0.925	1.983	-2.436	19.828	5.364	50.325
0.929	1.975	-2.429	19.633	6.410	49.898
0.934	1.978	-2.431	19.442	6.720	49.184
0.939	1.981	-2.449	20.209	7.294	48.899
0.939	1.991	-2.432	19.737	8.253	48.617
0.934	1.999	-2.467	19.940	8.882	48.189
0.943	1.999	-2.470	19.433	8.678	47.331
0.953	2.010	-2.471	19.890	9.690	47.050
0.975	2.013	-2.449	19.396	9.169	45.906
0.976	2.018	-2.432	18.565	10.569	45.768
0.994	2.029	-2.426	18.509	9.977	45.054
1.008	2.042	-2.437	18.537	11.440	44.059
1.026	2.036	-2.414	18.593	11.463	43.344
1.040	2.044	-2.413	18.970	11.536	43.778
1.031	2.055	-2.372	18.048	12.721	43.064
1.054	2.058	-2.356	17.559	13.596	42.786
1.054	2.058	-2.356	17.321	14.019	42.788
1.059	2.050	-2.340	16.645	14.512	42.360
1.068	2.061	-2.331	16.621	14.971	42.508
1.054	2.063	-2.339	16.492	16.259	42.653
1.059	2.076	-2.307	17.017	15.979	42.078
1.073	2.085	-2.340	16.682	16.190	42.085
1.077	2.077	-2.374	16.249	16.242	42.088
1.096	2.071	-2.348	15.348	16.273	42.236
1.109	2.079	-2.348	15.248	16.352	42.241
1.114	2.071	-2.347	15.531	17.109	42.243
1.132	2.066	-2.338	15.348	16.987	42.390
1.132	2.061	-2.380	14.513	16.857	42.537
1.137	2.053	-2.345	14.072	16.650	42.966
1.141	2.055	-2.369	13.882	16.950	43.114
1.151	2.050	-2.352	14.208	17.317	43.259
1.146	2.042	-2.357	13.564	18.010	44.122
1.155	2.032	-2.383	13.768	16.980	43.977
1.155	2.042	-2.400	14.015	17.219	44.123
1.160	2.024	-2.415	13.097	17.454	44.413
1.164	2.032	-2.432	13.267	17.597	44.416
1.174	2.032	-2.439	13.237	17.101	44.847
1.173	2.032	-2.439	13.475	16.678	44.845
1.178	2.040	-2.447	13.405	16.685	44.848
1.169	2.050	-2.447	13.438	16.443	44.989
1.178	2.056	-2.463	13.292	16.070	45.279
1.187	2.056	-2.445	13.259	15.582	45.709
1.187	2.061	-2.452	13.621	15.699	45.996
1.183	2.069	-2.436	13.816	15.503	45.994
1.192	2.074	-2.410	13.905	15.282	46.281
1.201	2.079	-2.442	14.239	15.178	46.572
1.201	2.074	-2.425	14.833	15.334	46.713
1.201	2.079	-2.425	14.957	16.158	46.573
1.211	2.079	-2.426	15.643	15.518	46.571
1.220	2.074	-2.373	15.485	15.340	47.144
