filename	 MeanX	 MeanY	 MeanZ	 IntergralX	 IntergralY	 IntergralZ	 MinX	 MinY	 MinZ	 MaxX	 MaxY	 MaxZ	 foot	 direction	 footfall_begin	 footfall_end
hfren11_run_18.avi	 -0.006107	 0.010761	 0.000108	 -0.000210	 0.000370	 0.000004	 -0.011669	 0.000388	 -0.003720	 0.000742	 0.018429	 0.002767	 HR	 down	 56	 65
hfren11_run_19.avi	 0.015339	 0.015845	 0.003234	 0.000870	 0.000898	 0.000183	 -0.000781	 -0.000692	 -0.003662	 0.026882	 0.032120	 0.007557	 FR	 up	 57	 71
hfren11_run_19.avi	 0.001837	 0.010819	 -0.001719	 0.000154	 0.000905	 -0.000144	 -0.001252	 -0.000567	 -0.007294	 0.007419	 0.027702	 0.001855	 HR	 up	 71	 92
hfren11_run_20.avi	 -0.006839	 0.009931	 0.003273	 -0.000364	 0.000528	 0.000174	 -0.011920	 -0.000896	 -0.006047	 0.001166	 0.022893	 0.007193	 FL	 up	 52	 65
hfren11_run_20.avi	 0.013797	 0.016682	 -0.002009	 0.000977	 0.001181	 -0.000142	 -0.001015	 -0.001061	 -0.004346	 0.030165	 0.037513	 0.001247	 HL	 up	 65	 83
hfren13_run_01.avi	 0.016787	 0.009912	 -0.000810	 0.000225	 0.000133	 -0.000011	 -0.018334	 -0.025260	 -0.027788	 0.045262	 0.025622	 0.008104	 FR	 up	 39	 42
hfren13_run_01.avi	 0.020400	 0.007099	 0.001351	 0.000492	 0.000171	 0.000033	 -0.001907	 -0.001218	 -0.004656	 0.044363	 0.016914	 0.005716	 HR	 up	 44	 50
hfren13_run_03.avi	 -0.008458	 0.002753	 -0.005411	 -0.000252	 0.000082	 -0.000161	 -0.019919	 -0.001680	 -0.018205	 0.000469	 0.006644	 -0.000223	 FL	 down	 26	 34
hfren13_run_03.avi	 0.021816	 0.034792	 0.002069	 0.000929	 0.001482	 0.000088	 -0.007697	 -0.001890	 -0.004164	 0.064826	 0.077187	 0.012014	 HL	 down	 34	 45
hfren13_run_04.avi	 0.005627	 0.006220	 -0.004548	 0.000166	 0.000184	 -0.000134	 -0.000680	 -0.001654	 -0.012970	 0.013967	 0.018521	 0.001192	 FR	 down	 34	 41
hfren13_run_04.avi	 -0.008716	 0.016966	 0.001890	 -0.000367	 0.000715	 0.000080	 -0.021368	 -0.004851	 -0.004991	 0.001576	 0.039465	 0.005898	 HR	 down	 41	 52
hfren13_run_05.avi	 0.029243	 0.034463	 0.001843	 0.001149	 0.001355	 0.000072	 -0.002148	 -0.003448	 -0.007232	 0.074732	 0.092358	 0.009748	 HL	 down	 49	 59
hfren13_run_06.avi	 0.007021	 0.008131	 -0.004175	 0.000229	 0.000265	 -0.000136	 -0.002130	 0.000077	 -0.009762	 0.013658	 0.019951	 0.000664	 FR	 down	 32	 41
hfren13_run_06.avi	 -0.010718	 0.023004	 0.004965	 -0.000450	 0.000966	 0.000209	 -0.023213	 -0.001742	 -0.003204	 0.002141	 0.041878	 0.010284	 HR	 down	 40	 50
