frame,avg_Fx,avg_Fy,avg_Fz
0,-9.070953412250784e-06,-0.0004862563432202107,0.0004202974637839548
1,-0.00030750307651108755,-0.000261227432010143,0.000444333683333434
2,-0.0005972509174275213,-2.8635626405182078e-05,0.00045897105340055803
3,-0.0008770114910444898,0.0002115795353014745,0.0004632435763177354
4,-0.00114551959363852,0.00045951305784504835,0.0004561759493212008
5,-0.0014015546473273026,0.000715296045377436,0.00043679013271995265
6,-0.0016439486763145956,0.000979096805216353,0.0004041131756559168
7,-0.001871595768857281,0.0012511212875024693,0.00035718614243127116
8,-0.0020834631381777113,0.0015316123131280987,0.0002950739501489087
9,-0.002278603418871526,0.0018208469558125572,0.00021687599344872094
10,-0.0024561673050468983,0.0021191316835499343,0.00012173757530301915
11,-0.002615415353683446,0.002426795165730052,8.862180417453674e-06
12,-0.002755727939725459,0.002744178802983682,-0.00012247557610720375
13,-0.0028766127552985517,0.003071625120016294,-0.0002729166597579924
14,-0.002977709456800504,0.0034094642903838407,-0.0004430042386546975
15,-0.003058790911018687,0.0037579991406970228,-0.0006331703179328211
16,-0.003119760210914556,0.004117488907473969,-0.000843722530532169
17,-0.0031606425596078552,0.004488131926705571,-0.001074831372275751
18,-0.0031815713943284065,0.004870047549344344,-0.0013265181564383617
19,-0.003182768720299142,0.005263257854762447,-0.0015986438514094612
20,-0.0031645205917927126,0.005667669934318306,-0.0018908990191828306
21,-0.0031271499523656504,0.006083059795080986,-0.002202795169768596
22,-0.003070989917164127,0.0065090596498572585,-0.002533657571540211
23,-0.0029963600859383497,0.006945150835503478,-0.002882619171887254
24,-0.0029035470437731923,0.007390663544717884,-0.0032486157434482785
25,-0.0027927896067612905,0.007844782438223686,-0.0036303834246731656
26,-0.0026642700743051318,0.00830655629957395,-0.004026459661136836
27,-0.002518113155425893,0.008774910995562313,-0.004435187157858825
28,-0.002354393192392595,0.009248665998903841,-0.00485472024095097
29,-0.002173148605290099,0.009726553695722883,-0.005283034364927473
30,-0.001974401559852352,0.010207238806431923,-0.005717940031617571
31,-0.0017581810909855899,0.010689335009752176,-0.006157101418752201
32,-0.0015245484095819815,0.011171417590964794,-0.006598059120930681
33,-0.001273622986715642,0.011652032638204766,-0.007038256310059269
34,-0.0010056074231412,0.01212970362755987,-0.007475067679294801
35,-0.0007208088475551532,0.012602935861219362,-0.0079058303945202
36,-0.00041965493147098757,0.013070219254070814,-0.008327876322079618
37,-0.0001027032734033143,0.013530030359352707,-0.008738565239507936
38,0.00022935643221862992,0.01398083473683421,-0.009135319106023197
39,0.0005757075531154484,0.014421090822160263,-0.009515657248103573
40,0.0009354187688472268,0.014849256622832601,-0.009877231776067459
41,0.0013074625904288858,0.01526380063441417,-0.010217862394859896
42,0.00169073844609007,0.01566321793052092,-0.010535569926056745
43,0.0020840980606177083,0.016046051426602485,-0.010828607644372958
44,0.002486371075513419,0.01641091716852892,-0.011095489029481034
45,0.002896389421734383,0.01675653151036994,-0.01133501048424831
46,0.0033130090214288214,0.017081737601153946,-0.011546268068862218
47,0.003735126896889337,0.017385528898756792,-0.011728667743534154
48,0.004161691605370099,0.01766706808964648,-0.011881928836942932
49,0.004591705779240657,0.01792570004600631,-0.012006080885363575
50,0.005024220970344179,0.018160957120873136,-0.01210145466535008
51,0.005458325999291621,0.018372555075849676,-0.01216866855510097
52,0.005893130296160944,0.018560379179155748,-0.012208610843441013
53,0.006327743811002337,0.018724462093369688,-0.012222417658919573
54,0.006761255482195059,0.01886495669112393,-0.012211445689795406
55,0.00719271282476741,0.018982107113471113,-0.012177239213790457
56,0.00762110531837876,0.019076220762632164,-0.012121491897690056
57,0.008045353615128484,0.019147643416865773,-0.012046004930534386
58,0.008464305512808207,0.01919673947120193,-0.011952643915595251
59,0.008876738755240683,0.019223878984591027,-0.01184329725931817
60,0.009281370250700922,0.01922943236984021,-0.011719838566904773
61,0.009676870940515074,0.019213772373037463,-0.011584094984404039
62,0.010061884943737495,0.019177282017413744,-0.01143782259639925
63,0.010435050956471688,0.019120366710383464,-0.011282688914163832
64,0.010795023853516342,0.019043468446326907,-0.011120261469265437
65,0.011140495231772884,0.01894707972455307,-0.010952001127141014
66,0.011470212579989775,0.018831754691537507,-0.010779259154110543
67,0.011782997047130627,0.018698115535330066,-0.010603277779750222
68,0.01207775940164689,0.018546853326658,-0.01042519427272934
69,0.0123535134885311,0.01837872377649958,-0.010246048144639967
70,0.012609386862923276,0.018194539149867406,-0.010066790336372654
71,0.012844628973396293,0.017995157765835938,-0.009888292668397075
72,0.013058617533745907,0.017781472571520893,-0.009711355793898464
73,0.013250863385358422,0.017554400513001417,-0.009536714420874743
74,0.013421013789861186,0.017314874558401284,-0.009365039508439147
75,0.013568854187783532,0.01706383977887263,-0.00919693817180428
76,0.013694308770357362,0.01680225386024463,-0.009032952751281166
77,0.01379744020733873,0.01653109132689515,-0.008873560603467742
78,0.013878448486141802,0.016251350111203343,-0.008719175632821029
79,0.013937668490961687,0.01596405887184825,-0.008570151800777437
80,0.013975566079401435,0.01567028328320301,-0.008426788284600948
81,0.013992732855580623,0.015371129363239203,-0.008289335672190071
82,0.013989880040518701,0.015067742249678925,-0.008158002501009273
83,0.013967831494411137,0.01476129992090741,-0.008032961609363422
84,0.013927515385308047,0.01445300266412341,-0.00791435604343257
85,0.013869953839704454,0.014144059801462057,-0.00780230444636748
86,0.013796250374050452,0.013835675080465508,-0.007696905937164781
87,0.013707575586225994,0.013529031747819683,-0.007598244505179552
88,0.013605151871009942,0.01322527824551579,-0.0075063928461102545
89,0.013490237659423084,0.012925515711059373,-0.0074214153508290834
90,0.013364111326852746,0.012630788560854245,-0.00734336973403812
91,0.013228054909627382,0.012342079033772393,-0.007272306754443635
92,0.013083338014977427,0.012060305740106088,-0.007208267856164427
93,0.01293120246859446,0.011786325373155536,-0.007151281282592757
94,0.012772848215480326,0.011520936209741298,-0.007101357842224868
95,0.012609420915517365,0.011264881968078302,-0.007058487621944171
96,0.01244200167133719,0.011018854774638272,-0.007022638469342714
97,0.01227159928555167,0.010783496238942971,-0.006993756264666371
98,0.012099145212708088,0.010559395999711814,-0.006971766252873811
99,0.01192549106526355,0.010347087570011331,-0.006956574314888981
100,0.011751408414949193,0.010147041672845284,-0.006948067218042669
101,0.011577590733036137,0.009959657461173286,-0.006946111543500964
102,0.01140465739768601,0.009785252309500616,-0.006950551769788202
103,0.01123315952507205,0.0096240514357223,-0.006961208480375082
104,0.011063586965037975,0.009476179193844922,-0.006977877645171539
105,0.010896375437948056,0.009341653961159019,-0.007000331410717099
106,0.010731912788453313,0.009220387902080024,-0.007028320113831883
107,0.010570543703318315,0.009112191813514175,-0.007061574788107736
