frame,avg_Fx,avg_Fy,avg_Fz
0,0.00017116146508745943,-0.0002933537058167614,0.0018052315536816392
1,2.634107829361132e-05,-0.00032126522292268416,0.0017437558323512902
2,-0.00012650037407067107,-0.00035352642783322463,0.0016746453176541116
3,-0.00028729261431562785,-0.00039032900144433507,0.001598007217217808
4,-0.00045594567891869933,-0.00043184002950581176,0.001513966765594681
5,-0.0006323517578904114,-0.0004781977549396496,0.001422662085390393
6,-0.0008163857077914662,-0.0005295071724513772,0.0013242410538524898
7,-0.0010079041760087822,-0.0005858357469883477,0.0012188600499997702
8,-0.0012067434946204897,-0.0006472095488746786,0.0011066843939604811
9,-0.0014127167166274616,-0.000713609969914325,0.000987890412518979
10,-0.001625610264928497,-0.000784970994429254,0.0008626691794263535
11,-0.0018451806659637888,-0.0008611768894927379,0.0007312318172318923
12,-0.0020711518258552525,-0.0009420602150776877,0.0005938158051322675
13,-0.0023032131875481477,-0.0010274001412713127,0.0004506913873662209
14,-0.0025410188238066916,-0.0011169210955839918,0.0003021672964845425
15,-0.002784187254321533,-0.0012102917645108865,0.00014859550582978678
16,-0.003032301676980347,-0.001307124467646105,-9.62487161161585e-06
17,-0.0032849102951479823,-0.001406974889199512,-0.00017204436331566403
18,-0.0035415264249953576,-0.0015093420915811917,-0.00033816046981427635
19,-0.003801628190560084,-0.0016136687189628536,-0.0005074153825996043
20,-0.004064657933760195,-0.001719341426694306,-0.0006791939606953802
21,-0.0043300217656969744,-0.001825691798215588,-0.0008528220198339636
22,-0.004597089738450219,-0.0019319980781931912,-0.0010275651049944953
23,-0.004865197035223776,-0.002037487832318464,-0.0012026279777870412
24,-0.005133646522066533,-0.0021413413918448376,-0.0013771552407094612
25,-0.00540171287884521,-0.0022426959257776558,-0.0015502337071080447
26,-0.005668648261272287,-0.0023406500971522863,-0.0017208969683363171
27,-0.005933689201682567,-0.00243426926505841,-0.0018881321781168384
28,-0.006196064362773091,-0.002522591132043814,-0.0020508888095384925
29,-0.006455002746672835,-0.0026046317736882697,-0.0022080891454346048
30,-0.006709741966661761,-0.0026793920779113645,-0.00235864025571947
31,-0.0069595363163848685,-0.0027458646133338032,-0.00250144715475456
32,-0.007203664685480959,-0.0028030408573326234,-0.0026354268691837495
33,-0.007441438649391108,-0.0028499186778609188,-0.0027595231996686838
34,-0.007672211049339314,-0.002885510051712221,-0.002872721981144975
35,-0.007895385160741546,-0.0029088491768261304,-0.0029740667354565564
36,-0.00811042437609857,-0.0029190011703489256,-0.0030626745665871136
37,-0.008316862222455692,-0.0029150712410171433,-0.003137751719708966
38,-0.008514312315637063,-0.002896213860253494,-0.003198607639589971
39,-0.008702477492046742,-0.0028616415144141344,-0.003244666033402266
40,-0.008881157110443667,-0.0028106330489294155,-0.0032754716122254703
41,-0.009050251639661746,-0.0027425418374452328,-0.0032906920006330483
42,-0.009209764050978944,-0.0026568037826372017,-0.003290115665280219
43,-0.009359797963419604,-0.0025529449462718566,-0.003273647922214497
44,-0.009500552918423557,-0.002430588687771371,-0.0032413070885754874
45,-0.009632317542399016,-0.002289462123939257,-0.0031932214311029107
46,-0.009755461440309228,-0.002129401368351883,-0.003129625936878849
47,-0.009870426492528344,-0.0019503549177289957,-0.003050857461289319
48,-0.009977718191049437,-0.0017523849354815293,-0.0029573476302446893
49,-0.010077897775060232,-0.0015356666900483737,-0.0028496140332533513
50,-0.010171575776379359,-0.0013004868137660983,-0.0027282507658801703
51,-0.010259407032522823,-0.0010472412271525851,-0.002593919081417132
52,-0.010342086675695484,-0.0007764332660008583,-0.0024473382737443317
53,-0.010420346344438742,-0.0004886718337006656,-0.002289276483182257
54,-0.010494949764185257,-0.00018466887049147098,-0.002120541190248673
55,-0.010566686856411439,0.0001347645658305245,-0.0019419695672202011
56,-0.010636365851961734,0.0004687241050578967,-0.0017544190883160562
57,-0.010704803462474995,0.0008162201478413626,-0.0015587586919074319
58,-0.010772813670096797,0.0011761884374262576,-0.0013558606879903608
59,-0.010841195913184894,0.0015475029404469695,-0.0011465936904281136
60,-0.01091072337981579,0.0019289904705381876,-0.0009318168153576316
61,-0.010982131928671472,0.0023194463118585795,-0.0007123750301405914
62,-0.011056110120990587,0.002717650159662853,-0.0004890951449862353
63,-0.011133291029915908,0.0031223818363513476,-0.00026278179781705154
64,-0.011214246531613332,0.003532436229317467,-3.4212970968236766e-05
65,-0.011299484395373803,0.003946636772776568,0.00019586489254848965
66,-0.011389447911458753,0.004363846893715586,0.0004267415775543003
67,-0.011484517396551746,0.004782979262112124,0.0006577470796919836
68,-0.01158501273349753,0.005203003094208916,0.000888255018903339
69,-0.011691196045176693,0.005622949868108104,0.0011176859635396756
70,-0.011803273760454433,0.006041917735563137,0.0013455107709195286
71,-0.011921397759700384,0.006459074890483414,0.0015712535311965586
72,-0.012045665779409622,0.0068736621919721075,0.0017944935893272052
73,-0.012176121506883752,0.007284995254450396,0.0020148663684911505
74,-0.012312754768715605,0.007692465933379083,0.0022320630722900024
75,-0.012455502177086084,0.008095542862362193,0.0024458295428850235
76,-0.012604248685418233,0.008493770671607953,0.0026559644741498663
77,-0.01275883054006953,0.00888676769418963,0.0028623169828499166
78,-0.012919039919702283,0.00927422219118069,0.0030647834691837302
79,-0.013084631140847632,0.009655887319624908,0.0032633038483260274
80,-0.0132553278326087,0.010031575161055396,0.0034578574618184203
81,-0.013430830214688957,0.010401150179473389,0.0036484590461292542
82,-0.013610821721958068,0.010764522631694463,0.0038351550319276713
83,-0.013794974554006264,0.01112164257894286,0.004018020275748239
84,-0.013982954020445847,0.011472494952818603,0.00419715513014233
85,-0.014174421720986888,0.011817095661510263,0.004372682652729187
86,-0.014369037701668053,0.012155488341038767,0.004544745783106082
87,-0.014566461810963778,0.01248774126906069,0.004713504329386553
88,-0.014766354546738778,0.012813944081569878,0.004879131572251851
89,-0.014968377710541714,0.013134204115285528,0.005041810345841523
90,-0.0151721951693266,0.01344864238599796,0.005201728637600468
91,-0.015377474013596019,0.013757389384264702,0.005359074962221017
92,-0.015583886372185541,0.014060580975165158,0.005514033851124507
93,-0.01579111198805526,0.014358354698022456,0.005666781743009806
94,-0.015998841394442777,0.014650846678675325,0.005817483454163026
95,-0.016206779345496258,0.01493818922540463,0.00596628931039588
96,-0.016414648138430125,0.015220509049806815,0.00611333305485582
97,-0.016622190500492986,0.0154979259630688,0.006258730771954854
98,-0.016829171699065438,0.015770551817908915,0.006402580955057513
99,-0.017035380518585993,0.016038489425324577,0.0065449654053101585
100,-0.017240628847563288,0.01630183124927375,0.006685950323704846
101,-0.017444749865934316,0.016560657893319928,0.0068255871159069595
102,-0.01764759513255366,0.016815036660782535,0.006963912767941744
103,-0.01784903108154506,0.017065020602885,0.007100949721179405
104,-0.018048935456436856,0.01731064834607738,0.007236705131546876
105,-0.018247194148411704,0.01755194474141571,0.0073711695258612195
106,-0.01844369885007709,0.01778892217632224,0.0075043150581942985
107,-0.018638345791275907,0.01802158225181156,0.007636093737814193
108,-0.018831035558432914,0.018249917483172003,0.007766436185405172
109,-0.01902167378874858,0.018473912773611118,0.007895251498771929
110,-0.01921017246644182,0.018693546543966086,0.008022428476757725
111,-0.0193964515200379,0.018908791464318078,0.008147837904952273
112,-0.019580440346832644,0.01911961476892529,0.008271335250464966
113,-0.019762078837435193,0.019325978229216736,0.008392763231676236
114,-0.019941317550710314,0.01952783799647038,0.008511954184944387
115,-0.020118116897945345,0.019725144612613137,0.008628732488510255
116,-0.020292445400976994,0.01991784343506681,0.008742917239144015
117,-0.02046427724086647,0.020105875536914602,0.008854325087669656
118,-0.02063358947793346,0.020289178927135294,0.008962773010155271
119,-0.020800359458409214,0.02046768982024091,0.00906808093238083
120,-0.02096456288567046,0.020641343726018547,0.009170074305142748
121,-0.021126172794997723,0.020810076202089016,0.009268586768108674
122,-0.021285159399856594,0.020973823136546377,0.00936346298029282
123,-0.021441490676392554,0.021132520569632877,0.009454561596366944
124,-0.021595133574842947,0.021286104351879692,0.0095417582425097
125,-0.021746055693395806,0.02143451005529921,0.009624948221538376
126,-0.021894227114519826,0.02157767336458192,0.009704048583699628
127,-0.02203962204077214,0.021715530979890357,0.009778999205062611
128,-0.022182219944913237,0.021848022050196238,0.00984976272507155
129,-0.022322006098091995,0.021975090115932818,0.009916323541917633
130,-0.022458971457126588,0.022096685341802234,0.00997868631765406
131,-0.0225931119668457,0.022212766658069306,0.010036874489308314
132,-0.022724427440104,0.02232330349540279,0.010090929153422322
133,-0.022852920322768627,0.02242827703224852,0.010140908480490719
134,-0.022978594741191027,0.02252768104409553,0.010186887600890161
135,-0.023101456188211397,0.022621522430496904,0.010228958702362158
136,-0.023221512001854325,0.022709821416885528,0.010267231051471913
137,-0.023338772490680754,0.022792611429616343,0.010301830916815967
138,-0.023453252359811484,0.022869938700259974,0.0103329015520374
139,-0.023564972111929292,0.022941861694745158,0.010360603218861
140,-0.023673959213670787,0.023008450478113583,0.010385113053501333
141,-0.023780248875257377,0.023069786082738925,0.010406624622764012
142,-0.023883884290914894,0.023125959821509383,0.010425347073505602
143,-0.02398491620196404,0.023177072400295522,0.010441503805620011
144,-0.024083401735642464,0.023223232764469907,0.010455330703197476
145,-0.02417940267729567,0.023264556801850113,0.010467074112133774
146,-0.024272983561840506,0.023301166128052025,0.010476988815020264
147,-0.024364210017925606,0.023333187066402823,0.0104853360671167
148,-0.02445314762030902,0.023360749709531135,0.010492381424925886
149,-0.024539861307749863,0.023383986879056805,0.010498392055150688
150,-0.02462441538030828,0.02340303296396008,0.010503633548395588
151,-0.02470687413158315,0.023418022809708276,0.010508366507802253
152,-0.024787303092448372,0.023429090822274463,0.010512843087686422
153,-0.0248657706300715,0.023436370277909246,0.010517303484202047
154,-0.02494234950462094,0.023439992761963836,0.010521972419080747
155,-0.02501711809789067,0.023440087816925075,0.010527055924078276
156,-0.025090161202000267,0.023436783001083438,0.01053273894671872
157,-0.02516157027930707,0.023430204401539496,0.010539184133987828
158,-0.025231443044598453,0.023420477350442694,0.010546531687219331
159,-0.025299882256528808,0.02340772697312722,0.010554899859875884
160,-0.02536699379597379,0.023392078372717413,0.01056438573228236
161,-0.02543288430350048,0.023373656522651363,0.010575066135335176
162,-0.025497658656189227,0.023352586003765854,0.010586998743678293
163,-0.025561417462243743,0.02332899063018647,0.010600223400059994
164,-0.02562425472846659,0.02330299300552757,0.010614763705195249
165,-0.025686255873306522,0.023274714097269094,0.010630628784441676
166,-0.025747496211379055,0.02324427283191347,0.010647815004413773
167,-0.025808039961528403,0.023211785607975443,0.010666307430555182
168,-0.025867939767740725,0.02317736564987721,0.010686080980996394
169,-0.025927236653234847,0.023141122154542792,0.010707101351940739
170,-0.025985960281275984,0.023103159167411156,0.010729325785366518
171,-0.026044129410932332,0.023063574232567028,0.010752703707825544
172,-0.02610175248204182,0.023022457015025696,0.010777177209656406
173,-0.026158828269080468,0.022979888045777566,0.01080268118503603
174,-0.02621534648527048,0.022935937594420787,0.010829142835448108
175,-0.026271288173634114,0.02289066469049281,0.010856480423898664
176,-0.02632662579732479,0.02284411642215935,0.010884601610949571
177,-0.02638132312796914,0.022796327614699203,0.010913402002438352
178,-0.026435335167285204,0.022747320815223994,0.01094276443885481
179,-0.02648860830006276,0.022697106360142327,0.010972559231616072
180,-0.026541080755070157,0.02264568235769031,0.011002645303768736
181,-0.026592683402815027,0.022593034622010007,0.011032872061746964
182,-0.026643340937005013,0.022539136690691828,0.011063081726785563
183,-0.026692973446531383,0.022483949984177975,0.011093111869637974
184,-0.026741498249929566,0.02242742408563509,0.0111227980194039
185,-0.02678883172909752,0.022369497097060393,0.011151976238099505
186,-0.0268348908768741,0.02231009602529195,0.011180485442071822
187,-0.026879594401143785,0.02224913720015312,0.011208169235759341
188,-0.02692286341780901,0.022186526834844796,0.01123487719223698
189,-0.026964621830362506,0.02212216187422383,0.011260465754659305
190,-0.0270047963950352,0.022055931160504468,0.01128479909345534
191,-0.02704331641680715,0.02198771680419703,0.011307750237594812
192,-0.027080113123069845,0.021917395601488903,0.0113292026166077
193,-0.027115118871927826,0.021844840374679413,0.011349051894706832
194,-0.027148266373958185,0.021769921181170254,0.011367207756424361
195,-0.02717948809271165,0.02169250639681059,0.011383595234562081
196,-0.027208715959880204,0.021612463723870476,0.011398155319716274
197,-0.027235881467745957,0.021529661221681946,0.011410844857784725
198,-0.027260916101032026,0.021443968462360026,0.011421635927019804
199,-0.02728375198476892,0.021355257834017507,0.01143051491487777
200,-0.027304322568955208,0.02126340594346602,0.011437481484077586
201,-0.027322563139470568,0.021168295105121193,0.011442547589835199
202,-0.027338410962190515,0.021069814978395836,0.011445736665060083
203,-0.02735180497631641,0.02096786440858122,0.011447083035946114
204,-0.02736268510728272,0.020862353435675156,0.01144663161242034
205,-0.0273709913656573,0.020753205359793744,0.01144443786969805
206,-0.027376662934030474,0.02064035871704325,0.011440567995705584
207,-0.0273796374571994,0.02052376901168623,0.011435098941181764
208,-0.027379850718773486,0.020403410107188297,0.01142811814276861
209,-0.02737723681706578,0.02027927525380653,0.011419722747093372
210,-0.02737172887611835,0.020151377698444058,0.011410018151537847
211,-0.027363260246931732,0.020019750749313475,0.011399115827845809
212,-0.027351766109565044,0.019884447261376163,0.011387130752109632
213,-0.02733718537382903,0.019745538720419523,0.011374179000637242
214,-0.02731946268923227,0.019603114152043504,0.011360375969543108
215,-0.027298550249768135,0.019457278928088163,0.01134583535933875
216,-0.027274409099073707,0.019308153431637616,0.011330668749084831
217,-0.02724700979419649,0.01915587158243782,0.0113149853954919
218,-0.027216332420659854,0.019000579290700852,0.01129889190730613
219,-0.027182366078446225,0.018842432873312394,0.011282491626460056
220,-0.02714510810881286,0.018681597371448345,0.011265883710390901
221,-0.027104563376394657,0.018518244694253106,0.011249161976251875
222,-0.027060743801607084,0.0183525516028242,0.011232413622213338
223,-0.02701366820549862,0.01818469762031255,0.011215718006887518
224,-0.026963362502574282,0.018014862957272976,0.01119914570364151
225,-0.026909860282788117,0.017843226530144758,0.011182757984255123
226,-0.02685320374027662,0.017669964145744885,0.011166606681547809
227,-0.026793444741158592,0.017495246911204507,0.011150734216253195
228,-0.026730645709087123,0.01731923991090122,0.011135173643832263
229,-0.026664880030705773,0.0171421011758965,0.011119948729911889
230,-0.026596231796544027,0.01696398095714378,0.01110507408034775
231,-0.02652479485206936,0.016785021316591542,0.011090555297570538
232,-0.026450671310813453,0.016605356060133736,0.011076389164730801
233,-0.02637396977607037,0.016425110989442777,0.011062563923115293
234,-0.02629480350040786,0.016244404352191308,0.01104905966057344
235,-0.026213288680274886,0.016063347335686363,0.011035848735017449
236,-0.026129543045766625,0.01588204449973932,0.01102289617456788
237,-0.026043684816941456,0.0157005940896635,0.01101016006143535
238,-0.02595583203610938,0.015519088207623218,0.010997591876203142
239,-0.025866102292375636,0.015337612882563753,0.010985136701903278
240,-0.025774612826016934,0.015156248100481728,0.01097273321371099
241,-0.02568148089711811,0.014975067831116498,0.010960313513666343
242,-0.025586824207683573,0.014794140097947623,0.010947802958401021
243,-0.025490761158536,0.014613527146707968,0.01093512007508709
244,-0.025393410823731498,0.014433285688924758,0.010922176549331909
245,-0.02529489265764486,0.014253467125455457,0.010908877266460169
246,-0.025195325993875615,0.014074117685070603,0.010895120515611645
247,-0.025094829354356942,0.013895278457276951,0.010880798538926227
248,-0.024993519594438234,0.013716985336692486,0.010865798527337722
249,-0.024891511019083185,0.013539269014066253,0.010850004053094272
250,-0.024788914667382037,0.013362155230221292,0.010833296855764726
251,-0.024685837851230137,0.01318566537064989,0.010815558811734023
252,-0.02458238387136183,0.013009817248426711,0.01079667387603094
253,-0.024478651797615214,0.012834625881577721,0.010776529877901224
254,-0.024374736280118457,0.012660104230743851,0.010755020185232885
255,-0.024270727433224327,0.012486263972978045,0.010732045299083184
256,-0.024166710825402424,0.012313116297321604,0.010707514415115754
257,-0.024062767529525603,0.012140672563909048,0.01068134696746813
258,-0.02395897412896949,0.011968944689899239,0.010653474170584827
259,-0.02385540258608397,0.011797945279395074,0.01062384059797146
260,-0.0237521199268537,0.011627687607815556,0.010592405864077802
261,-0.023649187765957314,0.011458185581010392,0.01055914639094478
262,-0.02354666177580734,0.011289453786166553,0.010524056998795528
263,-0.023444591207553805,0.011121507674482986,0.010487151871653395
264,-0.023343018495943377,0.010954363783216632,0.010448464548480817
265,-0.02324197894572752,0.010788039905110548,0.01040804693293724
266,-0.023141500524427195,0.010622555210635359,0.01036596766437903
267,-0.02304160378527143,0.01045793029050547,0.01032231033199154
268,-0.02294230195049577,0.010294186978947935,0.01027717184362952
269,-0.02284360124285488,0.01013134788605014,0.010230660913577399
270,-0.02274550153426699,0.009969435742648781,0.010182896436895397
271,-0.02264799722994407,0.009808472714482788,0.010134005623365337
272,-0.022551078167707628,0.00964847978104665,0.010084121995059463
273,-0.022454730292337608,0.009489476231279324,0.010033383460404768
274,-0.022358935955225277,0.009331479316721705,0.009981930553981283
275,-0.02226367385338236,0.009174504095728033,0.009929904758934583
276,-0.022168918770158655,0.009018563507082406,0.009877446903888944
277,-0.022074641288905798,0.008863668673532988,0.00982469582499926
278,-0.021980807533664177,0.00870982931219018,0.009771787435664708
279,-0.0218873789279038,0.00855705407159838,0.009718854081670503
280,-0.021794312032409082,0.008405350751693423,0.009666023908675237
281,-0.021701558588127008,0.008254726488353754,0.009613420074291328
282,-0.021609065848480668,0.008105187900215794,0.009561159840511228
283,-0.02151677719667271,0.007956741063169643,0.009509353613512505
284,-0.02142463296595521,0.007809391191603469,0.009458103863196727
285,-0.021332571329925845,0.007663142016868359,0.009407503844801334
286,-0.021240529142593327,0.007517994947515452,0.009357636172683348
287,-0.021148442675998705,0.007373948132203425,0.009308571318953735
288,-0.021056248229180504,0.007230995545457034,0.009260366056214163
289,-0.020963882547759077,0.007089126225644113,0.009213061953582034
290,-0.020871283005991233,0.006948323818782766,0.009166684242704379
291,-0.020778387571405574,0.006808566543693207,0.009121241413494158
292,-0.020685134591750542,0.006669827545011307,0.009076725676965254
293,-0.02059146243875378,0.006532075446837981,0.00903311417373511
294,-0.02049730912140409,0.006395274907239405,0.00899037071395614
295,-0.020402612069916948,0.006259387100873012,0.00894844790924562
296,-0.020307308219610198,0.006124370199725469,0.008907289651819727
297,-0.020211334356884075,0.005990179963862863,0.008866833816450974
298,-0.020114627649021798,0.005856770483784879,0.008827014832961588
299,-0.02001712635701844,0.005724095039645511,0.008787765690249092
300,-0.019918770726114487,0.005592107036860793,0.00874901917391414
301,-0.019819503931529824,0.0054607609873522575,0.00871070851994407
302,-0.01971927288286433,0.005330013477800102,0.008672767856955603
303,-0.019618028745224787,0.005199824072755822,0.008635132765116633
304,-0.019515727165056767,0.005070156195344411,0.00859774116799785
305,-0.019412328289879526,0.004940978067714056,0.008560534602480574
306,-0.019307796674802275,0.0048122636590936865,0.00852345965399097
307,-0.0192021011304171,0.004683993477549729,0.008486469186607627
308,-0.01909521456436256,0.004556155127204142,0.008449523067174097
309,-0.0189871138483443,0.00442874367102225,0.008412588233066958
310,-0.018877779682877197,0.00430176185814911,0.008375638062691232
311,-0.018767196425637143,0.004175220266932497,0.008338651141006284
312,-0.01865535189615189,0.004049137390523391,0.008301609648634951
313,-0.018542237188359012,0.00392353965670006,0.008264497610382364
314,-0.018427846496899433,0.003798461399590647,0.00822729917294604
315,-0.01831217692796594,0.0036739448286018783,0.00818999706650912
316,-0.018195228270026804,0.0035500399955028543,0.00815257138823594
317,-0.018077002760581763,0.0034268047339024673,0.00811499877058646
318,-0.017957504924525233,0.0033043045506815512,0.008077251853126848
319,-0.017836741505459375,0.003182612381301067,0.008039298781717307
320,-0.01771472143160299,0.0030618080461323675,0.008001102474598745
321,-0.017591455752690468,0.002941977326664373,0.007962619770408245
322,-0.017466957529243043,0.002823210766307325,0.007923800849639031
323,-0.017341241674625134,0.002705602408903156,0.007884589105749415
324,-0.01721432474257461,0.002589248687084792,0.007844921292979576
325,-0.017086224646505385,0.0024742476082473958,0.007804727734879277
326,-0.01695696027387297,0.0023606982505864405,0.00776393254553488
327,-0.016826550943466082,0.0022487004515836812,0.007722453935675436
328,-0.01669501572327198,0.002138354567412714,0.007680204665635962
329,-0.016562372719363314,0.002029761247446556,0.0076370926315833775
330,-0.01642863840946715,0.0019230211826736616,0.0075930215691579405
331,-0.016293826980800938,0.001818234786008029,0.007547891947957121
332,-0.016157949612013753,0.0017155018183862426,0.007501602140744839
333,-0.01602101371640734,0.001614921033783167,0.007454049809266081
334,-0.01588302224342081,0.0015165899104008036,0.0074051333152127035
335,-0.015743973154394537,0.0014206044880446286,0.0073547529851108176
336,-0.015603859112381874,0.001327059274355599,0.00730281217268485
337,-0.015462667316760048,0.0012360471268435622,0.0072492181531975605
338,-0.015320379371248359,0.0011476590180218944,0.00719388298335237
339,-0.01517697111944352,0.0010619836574885565,0.0071367245927252375
340,-0.015032412510511486,0.0009791069852909356,0.007077668325047487
341,-0.014886667697851314,0.0008991115241476167,0.007016648823945703
342,-0.014739695560252423,0.0008220755424965755,0.006953611867710819
343,-0.014591450648223609,0.000748071979377895,0.006888515752154241
344,-0.014441884396707332,0.0006771671462150336,0.0068213319995561895
345,-0.014290946449567694,0.0006094193756610761,0.006752045400664395
346,-0.014138586032420268,0.0005448779273089799,0.006680653639968219
347,-0.013984753367632044,0.0004835823948674395,0.006607166872421688
348,-0.013829401131162693,0.00042556259890296746,0.006531607485151972
349,-0.013672485909921405,0.00037083874406822204,0.006454010097270895
350,-0.013513969569935535,0.0003194216357880147,0.0063744218541967506
351,-0.013353820492498404,0.0002713128595908379,0.006292903077114679
352,-0.013192014735896637,0.000226504847445026,0.006209528170910617
353,-0.013028537164938861,0.0001849807279419137,0.006124386612794236
354,-0.012863382479213295,0.00014671388072279548,0.006037583958154967
355,-0.012696556036667236,0.00011166718741116429,0.005949242842924717
356,-0.012528074449726978,7.979208958795595e-05,0.005859503812861626
357,-0.01235796603220238,5.1027700785208276e-05,0.0057685256873039525
358,-0.012186271204370838,2.5300234169435756e-05,0.005676485226783508
359,-0.01201304288655559,2.5228544534628525e-06,0.005583576068169741
360,-0.011838346797224725,-1.7404087847984602e-05,0.005490007073970327
361,-0.01166226152900687,-3.459248795499472e-05,0.00539600030881924
362,-0.011484878323652423,-4.916556150445191e-05,0.005301788841442868
363,-0.011306300530735077,-6.125654339967118e-05,0.005207614528565995
364,-0.011126642749456198,-7.100709370109869e-05,0.005113725832156202
365,-0.010946029646351281,-7.85655676169673e-05,0.00502037556809511
366,-0.01076459448912846,-8.408527620600543e-05,0.00492781839504437
