frame,avg_Fx,avg_Fy,avg_Fz
0,-0.000734584230906216,-0.0010862623473022314,-0.0016301456789148691
1,-0.0007866010442330783,-0.0011939854183833868,-0.001801986548184093
2,-0.0008404112969515227,-0.0013049314842873373,-0.0019751140676627487
3,-0.0008958301918516559,-0.0014188170169969006,-0.0021490360002863022
4,-0.0009526390368284985,-0.0015353170940219402,-0.002323246602141471
5,-0.0010105838272327487,-0.001654063708222633,-0.0024972282814076725
6,-0.0010693747892607625,-0.00177464458139026,-0.0026704530439605753
7,-0.0011286867418366486,-0.001896602545998678,-0.0028423835705841285
8,-0.0011881599804237134,-0.0020194355039975685,-0.0030124741154304926
9,-0.001247401487453215,-0.002142596955012953,-0.0031801717211130775
10,-0.0013059865322530143,-0.0022654971192942663,-0.0033449181964250708
11,-0.0013634608835182667,-0.0023875047492083667,-0.003506152946320036
12,-0.0014193437998010173,-0.0025079497641415666,-0.0036633163538636925
13,-0.0014731318000566406,-0.0026261267721422454,-0.003815853256160268
14,-0.0015243030997842467,-0.0027412993791240525,-0.003963216186225734
15,-0.0015723225793115626,-0.0028527050817596603,-0.004104868285856599
16,-0.001616647202111907,-0.0029595605537683003,-0.0042402859282640116
17,-0.0016567318286245158,-0.0030610671854758046,-0.0043689610664483704
18,-0.001692035282559899,-0.0031564168067654496,-0.0044904032615402665
19,-0.0017220264225502578,-0.0032447976356629435,-0.004604141429901903
20,-0.0017461900641250327,-0.003325400548337737,-0.004709725577984096
21,-0.0017640328642267928,-0.003397425700205727,-0.004806728943830374
22,-0.0017750894748871408,-0.0034600894693644054,-0.00489475087439029
23,-0.0017789292537573377,-0.0035126317500896315,-0.004973420525584803
24,-0.0017751636713540736,-0.0035543237262142826,-0.005042401255913306
25,-0.0017634543993887758,-0.0035844762579852643,-0.005101395454851422
26,-0.0017435218816427977,-0.0036024488221831144,-0.005150149442649443
27,-0.001715153913055934,-0.0036076586051131698,-0.005188457981003963
28,-0.0016782134784887207,-0.0035995890978220294,-0.005216167948894483
29,-0.0016326450387219441,-0.0035777975838294433,-0.005233180933422097
30,-0.0015784786615152594,-0.0035419211637247056,-0.005239454758991106
31,-0.0015158317065150039,-0.003491681169843128,-0.005235004135078765
32,-0.0014449080270784345,-0.0034268858675935514,-0.005219900512132797
33,-0.001365994881510932,-0.0033474313340608026,-0.005194270981361395
34,-0.0012794579517204623,-0.003253300505564984,-0.005158295952787916
35,-0.0011857349370384292,-0.003144560624619329,-0.005112205583762349
36,-0.001085328143341362,-0.003021359564857277,-0.005056275275955638
37,-0.000978796472663768,-0.0028839215414868825,-0.004990820741075794
38,-0.0008667472735842811,-0.002732542449945592,-0.004916193188418636
39,-0.0007498284890761207,-0.002567584798552197,-0.004832775109213364
40,-0.000628721298081363,-0.0023894722424822497,-0.004740976788694275
41,-0.0005041331450929219,-0.0021986839829021953,-0.0046412332648861085
42,-0.000376791026441812,-0.0019957493770438694,-0.004534001366301048
43,-0.0002474351751293994,-0.0017812429025914028,-0.0044197566782873945
44,-0.00011681349711987907,-0.0015557793921900849,-0.004298990498430587
45,1.432298135590586e-05,-0.0013200094349512196,-0.004172206921675926
46,0.0001452236637600386,-0.0010746149760684678,-0.004039920158590307
47,0.00027514115188015956,-0.0008203051853108339,-0.003902652042042079
48,0.00040333357056107985,-0.000557812505177145,-0.0037609295396482893
49,0.0005290668774834593,-0.00028788862085745565,-0.003615282096022413
50,0.0006516176301193787,-1.130011171640533e-05,-0.0034662387171025696
51,0.0007702765975399786,0.0002711762947839788,-0.0033143247790187727
52,0.0008843534136464416,0.0005587587765849925,-0.0031600586375331832
53,0.0009931822306542925,0.0008506655981594946,-0.0030039482382151358
54,0.0010961280728050008,0.0011461202630643618,-0.0028464879564798775
55,0.0011925933821821011,0.0014443565609035657,-0.0026881557965787073
56,0.0012820241742305168,0.0017446234810501947,-0.0025294109628584594
57,0.0013639152597806163,0.0020461899938911273,-0.0023706917375762465
58,0.001437814105301722,0.0023483497258810692,-0.002212413570341418
59,0.0015033231345069644,0.002650425514860999,-0.0020549673624734818
60,0.0015601005999005787,0.0029517737417496985,-0.0018987180648048197
61,0.0016078604006142699,0.0032517883423955787,-0.0017440037442841305
62,0.0016463712685622438,0.0035499045389817026,-0.0015911351576292983
63,0.0016754556571112816,0.003845602413672871,-0.0014403956826153806
64,0.001694988567201677,0.004138410352472821,-0.0012920413411784293
65,0.0017048964542791748,0.004427908205336567,-0.00114630070247438
66,0.0017051562301301816,0.004713729911528712,-0.0010033746025617308
67,0.0016957942147744485,0.004995565398478463,-0.0008634356866460751
68,0.0016768847912085015,0.005273161692917635,-0.0007266277727809214
69,0.0016485485328930453,0.005546323257508624,-0.0005930651059089239
70,0.0016109496872488867,0.005814911586877001,-0.00046283170510318615
71,0.0015642930497782011,0.006078844159658739,-0.00033598102945981643
72,0.0015088203851072726,0.006338092934957851,-0.00021253607409144575
73,0.0014448066010173538,0.006592682582909503,-9.248990513623192e-05
74,0.0013725558958106775,0.00684268851929539,2.4193391013908643e-05
75,0.0012923981084811099,0.0070882346650651094,0.00013757738137081435
76,0.0012046854635732538,0.007329490768422616,0.00024775160653416994
77,0.0011097897852409676,0.007566669164510464,0.00035482955129733263
78,0.001008100078736573,0.007800020981389622,0.00045894629706877687
79,0.0009000202029327879,0.008029831902461638,0.0005602558619819612
80,0.0007859662673783286,0.008256417590851257,0.0006589280516877097
81,0.000666363459556975,0.00848011883134021,0.0007551445230631789
82,0.0005416422349718414,0.008701296404880071,0.0008490939873494702
83,0.00041223402583052087,0.008920325702630124,0.000940966891550215
84,0.00027856672138058103,0.009137591113990736,0.0010309501464970268
85,0.00014106022030604937,0.00935348022412735,0.0011192224614533061
86,1.2240852227075224e-07,0.009568377830351124,0.0012059507542647786
87,-0.00014385410961032598,0.0097826598292731,0.001291287961764882
88,-0.00029049433521286157,0.009996687142535625,0.0013753723459963777
89,-0.0004394422394755666,0.010210799946793277,0.0014583281429187264
90,-0.0005903613134192996,0.010425312511949487,0.0015402671973100649
91,-0.0007429345666779983,0.010640508931337877,0.0016212910821496354
92,-0.0008968642686826007,0.010856639919463165,0.0017014931934169826
93,-0.0010518716199531257,0.01107392066674746,0.0017809605097590163
94,-0.0012076963759203483,0.011292529600453936,0.0018597749596707697
95,-0.0013640963424107482,0.011512607892232423,0.001938014448747525
96,-0.0015208466252937126,0.011734259590980319,0.0020157535795322533
97,-0.0016777385139614374,0.011957552257744392,0.0020930640525157963
98,-0.0018345779415089613,0.012182517971184243,0.0021700147357914773
99,-0.00199118358139444,0.012409154572475567,0.002246671460269481
100,-0.002147384740063544,0.012637426998856217,0.002323096655960311
101,-0.0023030192888008933,0.012867268578900418,0.002399348899844467
102,-0.002457931964273957,0.013098582290470432,0.0024754823599281287
103,-0.002611973377006922,0.013331242117286967,0.002551546088192343
104,-0.0027649999240877293,0.013565094658487573,0.002627583147271095
105,-0.0029168745574283715,0.013799961056728057,0.00270362963771767
106,-0.003067468136678002,0.014035639221132741,0.002779713781749411
107,-0.0032166609753453727,0.014271906317242573,0.0028558552437113736
108,-0.0033643441807693,0.01450852153693111,0.002932064784120018
109,-0.003510420480401625,0.014745229132500228,0.0030083441933292203
110,-0.003654804383189295,0.014981761604839345,0.003084686382212901
111,-0.003797421693999135,0.015217842908283423,0.0031610755872776065
112,-0.003938208534345494,0.015453191616054178,0.0032374877195857897
113,-0.004077110076807908,0.01568752406201595,0.003313890850158124
114,-0.004214079164466986,0.01592055746440375,0.003390245794297574
115,-0.004349074928422983,0.016152013019593722,0.003466506812547076
116,-0.00448206148446423,0.016381618973192544,0.003542622521334591
117,-0.004613006723211302,0.016609113652104927,0.003618537120504311
118,-0.004741881081043176,0.016834248336228336,0.0036941919594899518
119,-0.004868656135711322,0.017056789754613357,0.003769527325475992
120,-0.004993303016749569,0.01727652200112393,0.003844484283119547
121,-0.0051157908374670075,0.01749324777092148,0.003919006475694261
122,-0.005236085474945138,0.01770678894427889,0.003993041857038974
123,-0.005354149006121628,0.017916986617627365,0.004066544234176449
124,-0.005469939982231253,0.018123700706051564,0.004139474389566436
125,-0.005583414545275033,0.018326809258634436,0.004211800598895324
126,-0.005694528241234598,0.018526207620736604,0.004283498513206584
127,-0.0058032383075883745,0.01872180751774296,0.004354550466648655
128,-0.0059095061799279225,0.018913536087888854,0.004424944284176928
129,-0.006013299946311435,0.019101334898260817,0.004494671716747855
130,-0.006114596480415787,0.01928515896373423,0.004563726760946418
131,-0.006213383024161363,0.01946497573997277,0.004632104192748522
132,-0.0063096580899218106,0.019640764060763486,0.004699798543699185
133,-0.006403431708864987,0.019812513032880424,0.004766803536413755
134,-0.006494725214604607,0.01998022091472363,0.004833111844257927
135,-0.0065835708307971546,0.02014389397946008,0.004898715046530028
136,-0.006670011279160474,0.020303545343712093,0.004963603749477256
137,-0.0067540994960431375,0.020459193751204738,0.005027767884895075
138,-0.006835898419914639,0.02061086232395633,0.005091197139433208
139,-0.0069154807139115634,0.020758577310729064,0.005153881394880951
140,-0.006992928230878246,0.02090236686262325,0.005215811051419734
141,-0.007068331054534991,0.021042259870884466,0.005276977164075898
142,-0.007141786072556461,0.021178284943228685,0.0053373713943482455
143,-0.007213395180280637,0.021310469617504442,0.005396985846531127
144,-0.007283263299311148,0.02143883982813098,0.0054558129350600485
145,-0.0073514964487028135,0.02156341951171246,0.005513845445731634
146,-0.007418200159312074,0.021684230203541332,0.005571076831457121
147,-0.0074834785080947,0.02180129054359707,0.005627501606093742
148,-0.007547433921935546,0.021914615693388987,0.005683115645995208
149,-0.007610167732371203,0.02202421672124726,0.005737916318890534
150,-0.0076717813424557945,0.022130100031977497,0.005791902487534746
151,-0.007732377797338848,0.022232266888676896,0.005845074480523278
152,-0.007792063488421924,0.02233071301940635,0.0058974341408839885
153,-0.00785094967810302,0.022425428278570986,0.005948985077557737
154,-0.007909153564279871,0.022516396388523242,0.005999733190973149
155,-0.007966798702034547,0.022603594870164175,0.006049687417845812
156,-0.00802401470041055,0.022686995272128536,0.006098860514089625
157,-0.00808093620023434,0.022766563698678476,0.006147269639234933
158,-0.008137701232859881,0.022842261524416853,0.006194936543988878
159,-0.008194449153554745,0.022914046191205788,0.006241887251875638
160,-0.008251318403382162,0.022981872070261252,0.0062881512097044436
161,-0.00830844434610785,0.02304569139892567,0.006333759950723756
162,-0.008365957366238614,0.023105455253807677,0.006378745398307166
163,-0.008423981347401247,0.023161114496174452,0.006423138016627599
164,-0.00848263259936519,0.0232126206384173,0.006466964991828145
165,-0.008542019257574565,0.02325992657683478,0.0065102485194209634
166,-0.008602241134289493,0.02330298711805436,0.006553004260197957
167,-0.00866338998616156,0.023341759270720693,0.006595240128524514
168,-0.00872555017777435,0.023376202393533572,0.006636955585979626
169,-0.008788799681491592,0.023406278361386926,0.006678141481286526
170,-0.008853211249037811,0.023431951849031525,0.006718780376256671
171,-0.008918853525493368,0.0234531907144966,0.006758847276341684
